,0,1,2,3
1512,,"raw, average portion (15 raspberries)",60g,
1513,,"canned with syrup or juice, average",,
1514,,portion,90g,
1515,Rhubarb,"stewed, with sugar, average portion",140g,
1516,Satsuma,see tangerine,,
1517,Sharon fruit,1 raw,hOg,
1518,Strawberry,1 raw,12g,
1519,,"raw, average portion",lOOg,
1520,,"canned with syrup, average portion",90g,
1521,Sultanas,"1 tablespoon, dried",30g,
1522,Tangerine,1 raw small without skin,50g,
1523,,1 raw medium without skin,70g,
1524,,1 raw large without skin,90g,
1525,ICE-CREAMS AND ICE-LOLLIES,,,
1526,"Bombe chocolate covered, individual",60g,,
1527,"Bomboniera, Walls",73g,,
1528,"Bounty, Mars twin",48g,,
1529,single,24g,,
1530,"Calippo, Walls",139g,,
1531,Catering Brickette strawberry; vanilla (Walls),36g,,
1532,Choc ice Cadbury's Dairy Milk (Nestlé),56g,,
1533,Chunky (Walls),50g,,
1534,Classico (Nestlé),44g,,
1535,Dark and golden (Walls),48g,,
1536,Kick (Walls),58g,,
1537,Cones/comets (no ice cream) large,4g,,
1538,medium,,,
1539,square,4g,,
1540,sugar,Jig,,
1541,"Comnetto, Walls choc 'n' nut",73g,,
1542,dairy cappuccino,73g,,
1543,mint choc chip,75g,,
1544,strawberry,81g,,
1545,"Diddy Tub, Walls strawberry; vanilla",41g,,
1546,"Elite Tub, Walls chocolate; strawberry; vanilla",140g,,
1547,"Fab, Nestlé",Oig,,
1548,"Feast, Walls chocolate, mint",85g,,
1549,nutty,97g,,
1550,Frozen yoghurt average portion,56g,,
1551,"Galaxy Dove, Mars",I04g,,
1552,"Hooded skull, Walls",65g,,
1553,Ice-cream average serving,75g,,
1554,1 average scoop,60g,,
1555,"block, 1 average slice",75g,,
1556,tub,60g,,
1557,"individual slices, vanilla",36g,,
1558,"bar, Golden vanilla (Walls)",48g,,
1559,"King Cone, Nestlé",vanilla and strawberry,81g,
1560,,"vanilla, chocolate and nuts",89g,
1561,,mint choc chip,75g,
1562,Kulfi,"Indian ice-cream, average",80g,
1563,"Magnifico, Walls",,117g,
1564,"Magnum, Walls",almond,96g,
1565,,dark; white chocolate,94g,
1566,"Mars bar, Mars",,57g,
1567,"Max, Walls",banana; caramel,59g,
1568,,chocolate; toffee; vanilla,70g,
1569,"Milky Way, Mars",,19g,
1570,"Mincemeat Bruiee, Walls",,lO8g,
1571,"Mini Juice, Walls",apple; orange,36g,
1572,"Mini Milk, Walls",chocolate; strawberry; vanilla,30g,
1573,"Mini Yogice, Walls",banana; strawberry,33g,
1574,"Mint crisp, Nestlé",,70g,
1575,"Mivvi, Nestlé",pineapple and cream,63g,
1576,,raspberry and cream,65g,
1577,"Mr Men, Nestlé",all types except dairy,45g,
1578,,dairy,40g,
1579,"Opals Iced fruits, Mars",,99g,
1580,"Orange Fruitie, Walls",,82g,
1581,Orange Maid,,71g,
1582,"Penguin ice-cream bar, Mars",,56g,
1583,"Romantica, Walls",I average slice,60g,
1584,"Screwball, Treats",,67g,
1585,"Scribbler, Walls",,45g,
1586,"Sky, Walls",,52g,
1587,"Snickers, Mars",,57g,
1588,"Sparkles, Walls",lemonade; orange,57g,
1589,"Strawberry Split, Walls",,77g,
1590,"Tangle Twister, Walls",,80g,
1591,"Toffee Crumble, Nestlé",,56g,
1592,"Too Good To Be True, Walls",average scoop,62g,
1593,"Tub, ice-cream",,61g,
1594,"TWix, Mars",,57g,
1595,Vanilla,bar,49g,
1596,"Viennetta, Walls",1 average slice,56g,
1597,,individual,55g,
1598,Wafers,each,2g,
1599,,cups,,
1600,,fan,5g,
1601,"Whippy ice-cream, Walls",in medium cone,53g,
1602,"Zoom, Nestlé",,63g,
1603,MEAT AND MEAT PRODUCTS,,,
1604,"Bacon 1 rasher back bacon, fried or grilled",,,
1605,average,25g,,
1606,"1 rasher middle bacon, fried or grilled",,,
1607,average,40g,,
1608,"1 rasher streaky bacon, fried or grilled",,,
1609,average,20g,,
1610,1 portion bacon average,46g,,
1611,1 gammon steak average,I 70g,,
1612,"in a bun, average",IOOg,,
1613,"with egg in a bun, average",I20g,,
1614,"Burger King,",,,
1615,bacon double cheeseburger,158g,,
1616,BBQ bacon double cheeseburger,172g,,
1617,"McDonald's, bacon and egg McMuffin",I46g,,
1618,"Wimpy, bacon in a bun",105g,,
1619,"Wimpy, bacon and egg in a bun",I65g,,
1620,"Beefhurgers no bun,",,,
1621,"80% beef, 56g raw, fried or grilled",36g,,
1622,"100% beef, 56g raw, fried or grilled",34g,,
1623,"economy,",,,
1624,"60% beef, 56g raw, fried or grilled",40g,,
1625,"80% beef, quarterpounder, fried or",,,
1626,grilled,90g,,
1627,"100% beef, quarterpounder, fried or",,,
1628,grilled,78g,,
1629,"in a bun, average",I05g,,
1630,"with cheese, cheeseburger, average",I I5g,,
1631,"quarterpounder, average",I80g,,
1632,"quarter pounder with cheese, average",200g,,
1633,"Burger King,",,,
1634,hamburger,I06g,,
1635,cheeseburger,II8g,,
1636,double cheeseburger,I66g,,
1637,cheeseburger deluxe,147g,,
1638,whopper,258g,,
1639,double whopper,334g,,
1640,whopper with cheese,283g,,
1641,double whopper with cheese,359g,,
1642,mushroom double Swiss,I68g,,
1643,,"McDonalds,",,
1644,,hamburger,JOOg,
1645,,cheeseburger,117g,
1646,,quarter pounder,162g,
1647,,quarter pounder with cheese,195g,
1648,,quarter pounder with cheese deluxe,220g,
1649,,Big Mac,204g,
1650,,"Wimpy,",,
1651,,hamburger,105g,
1652,,cheeseburger,120g,
1653,,quarter pounder,210g,
1654,,quarter pounder with cheese,225g,
1655,,half pounder,305g,
1656,,kingsize,200g,
1657,,leanburger,235g,
1658,,"in batter, average",130g,
1659,Beef casserole or curry,"average portion, small",180g,
1660,,medium,260g,
1661,,large,360g,
1662,"Beef, minced","stewed, small, average portion",JOOg,
1663,,"medium, average portion",140g,
1664,,"large, average portion",220g,
1665,,"stewed with gravy and vegetables,",,
1666,,average portion,270g,
1667,,"stewed canned, small",200g,
1668,,large,392g,
1669,Beef pies,Beef and onion pastie,160g,
1670,,Beef and onion pie,140g,
1671,,"Canned steak/steak and kidney pie,",,
1672,,small,213g,
1673,,large,,
1674,,"Cornish pastie, mini",75g,
1675,,medium,145g,
1676,,large,,
1677,,Scotch pie,112g,
1678,,"Shepherds pie/cottage pie,",,
1679,,average portion,310g,
1680,,Steak and kidney pie individual,160g,
1681,,,Steak and kidney pudding individual,I41g
1682,,,small,230g
1683,,,large,450g
1684,,,Steak and potato pie individual,128g
1685,,,Steak pie individual,150g
1686,,,"individual, deep filled",210g
1687,,,"Steak pie large, small slice",90g
1688,,,medium slice,120g
1689,,,large slice,150g
1690,,"Beef, roast","small, average portion",50g
1691,,,"medium, average portion",90g
1692,,,"large, average portion",150g
1693,,,"thinly sliced beef, 1 slice",28g
1694,,,"thickly sliced beef, 1 slice",45g
1695,,,"1 portion in gravy, purchased frozen",
1696,,,beef,59g
1697,,,gravy,55g
1698,,"Beef, steaks, fried or grilled","small, average portion",hOg
1699,,,"medium, average portion",144g
1700,,,"large, average portion",210g
1701,,,"1 fillet steak, 5oz, fried",108g
1702,,,grilled,105g
1703,,,8oz fried,172g
1704,,,grilled,168g
1705,,,"1 minute steak, 5oz, fried",80g
1706,,,grilled,78g
1707,,,"I rump steak, 5oz, fried",103g
1708,,,grilled,102g
1709,,,"8oz, fried",166g
1710,,,grilled,163g
1711,,,"1 T-bone steak, 8oz, fried",169g
1712,,,grilled,166g
1713,,,"12oz, fried",253g
1714,,,grilled,248g
1715,,"Beef, stewed",small average portion,90g
1716,,,medium average portion,140g
1717,,,large average portion,210g
1718,56.0,,,
1719,"Beef, stewed with vegetables",small average portion,230g,
1720,,"in gravy, medium average portion",270g,
1721,,large average portion,340g,
1722,Black pudding,1 slice,30g,
1723,,1 portion,75g,
1724,Bolognese sauce,average portion,240g,
1725,Braising steak,"see beef, stewed",,
1726,Burgerbites in baked beans,"small tin, beans",170g,
1727,,burgerbites,55g,
1728,Cannelloni,average portion,340g,
1729,,"frozen ready meal, serves one",260g,
1730,Chickbits,"in baked beans, small tin, beans",170g,
1731,,chickbits,55g,
1732,Chicken in a bun,"fried chicken sandwich, chicken only",70g,
1733,,with bun,130g,
1734,,"Burger King, BK Flamer",167g,
1735,,Chicken Royale,224g,
1736,,Kentucky Fried Chicken Sandwich,174g,
1737,,"McDonald's, McChicken Sandwich",159g,
1738,,"Wimpy, Chicken in a bun",180g,
1739,Chicken breast steak,"in breadcrumbs, fried",JOOg,
1740,Chicken casserole or curry,small average portion,180g,
1741,,medium average portion,260g,
1742,,large average portion,360g,
1743,Chicken cordon bleu,fried or grilled,I60g,
1744,Chicken fingers,"fried, each",15g,
1745,Chicken Kiev,fried or grilled,170g,
1746,Chicken nuggets,"pieces, baked or fried, each",16g,
1747,,6 nuggets average portion,lOOg,
1748,,McDonald's 6 McNuggets,I05g,
1749,,Burger King chicken pick 'em ups,,
1750,,(for 6),lug,
1751,Chicken pie,individual,130g,
1752,,large,480g,
1753,,"1 slice of large pie, small",90g,
1754,,medium,120g,
1755,,large,150g,
1756,,"individual, with mushroom or vegetables",140g,
1757,Chicken portions,"1 breast, no bone, small",lOOg,
1758,,medium,130g,
1759,,large,150g,
1760,,"1 drumstick, with bone",90g,
1761,,edible portion,47g,
1762,,"1 half, edible portion",350g,
1763,,"1 leg, with bone",165g,
1764,,edible portion,90g,
1765,,"1 quarter, edible portion",190g,
1766,,"1 thigh, with bone",75g,
1767,,edible portion,45g,
1768,,"1 wing, with bone",55g,
1769,,edible portion,25g,
1770,"Chicken portions, fried","I breast portion, with bone",70g,
1771,e.g. Kentucky,"1 drumstick, with bone",131g,
1772,,"I rib, with bone",hOg,
1773,,"1 thigh, with bone",107g,
1774,,"1 wing, with bone",73g,
1775,,"Hot wings, with bones, 5 pieces",I6lg,
1776,"Chicken, roast",small average portion,70g,
1777,,medium average portion,lOOg,
1778,,large average portion,I 70g,
1779,,"in gravy, purchased frozen, chicken",59g,
1780,,gravy,55g,
1781,,"1 slice roast, breast",40g,
1782,Chicken roll,1 slice (diameter 8cm),12g,
1783,Chicken sticks,1 fried,25g,
1784,Chicken tikka and tandoori,see Indian dishes,,
1785,chicken,,,
1786,Chilli con came,no rice,220g,
1787,,purchased frozen ready meal for one,290g,
1788,,sauce,155g,
1789,,rice,I35g,
1790,Chinese dishes,"beef dishes, e.g. beef in oyster sauce",360g,
1791,,"char-sui buns, steamed, small",60g,
1792,,large,1]2g,
1793,,"chicken dishes, e.g. chicken with",,
1794,,mushrooms,400g,
1795,,"chop suey dishes, e.g. chicken chop suey",450g,
1796,,"chow mein dishes, e.g. beef chow mein",350g,
1797,,"fu yung dishes, e.g. chicken fu yung",310g,
1798,,"pancake roll, small",90g,
1799,,large,140g,
1800,,spare ribs in sauce,340g,
1801,,"spring roll, meat, average",55g,
1802,,"sweet and sour dishes, e.g. sweet and",,
1803,,sour pork,300g,
1804,,pork balls only,150g,
1805,,"vegetable dishes, fried, from takeaway",340g,
1806,Chopped ham and pork,"thinly sliced, 1 slice",14g,
1807,Corned beef,"1 slice, thin",38g,
1808,,thick,50g,
1809,,I small can,198g,
1810,Cornish pastie,medium,155g,
1811,,large,260g,
1812,Cottage pie/Shepherds pie,average portion,310g,
1813,,,,A
1814,Curries,"average, e.g. Bhuna, Dhansak, Dupiaza,",,
1815,,"Kashmir, Korma, Madras,",,
1816,,"Malaya, Patia, Rogan Josh,",,
1817,,Vindaloo,350g,
1818,,(see also Indian dishes),,
1819,,frozen purchased ready meal with rice,290g,
1820,Duck,"breast and wing, roast, meat and skin",,
1821,,only,185g,
1822,,"crispy duck, average takeaway portion",125g,
1823,Faggots,"in gravy, two",150g,
1824,Fillet steak,"average, 5oz, fried",108g,
1825,,grilled,105g,
1826,Game,"1 grouse, with bone",350g,
1827,,meat only,160g,
1828,,"1 partridge, with bone",550g,
1829,,meat only,260g,
1830,,"1 pheasant, with bone",800g,
1831,,meat only,430g,
1832,,"1 pigeon, with bone",240g,
1833,,meat only,115g,
1834,,"I rabbit, with bone",850g,
1835,,meat only,510g,
1836,,"venison, average portion",120g,
1837,Game pie,average slice,175g,
1838,Garlic sausage,1 small average slice (diameter 5cm),5g,
1839,,I large average slice (diameter 11cm),12g,
1840,Ham,average slice,23g,
1841,,"very thinly sliced ham, 1 slice",Jig,
1842,,"canned ham, average slice, thin",35g,
1843,,thick,45g,
1844,,"honey glazed ham, average slice",28g,
1845,,thin slice,17g,
1846,,"parma ham, average slice",17g,
1847,,average portion,47g,
1848,Hamburgers,see beefburgers,,
1849,Hashbrown,McDonald's,51g,
1850,Haslet,average slice,14g,
1851,Heart,"lambs, I whole cooked",200g,
1852,Indian dishes,"Biriani, rice and meat",400g,
1853,,biriani sauce,200g,
1854,,"Chicken tikka, as starter",120g,
1855,,"Chicken tikka, as main course",200g,
1856,,Chicken tikka mossala,300g,
1857,,"curry, e.g. Bhuna, Dhansak, Dupiaza,",,
1858,,"Kashmir, Korma, Madras,",,
1859,,"Malaya, Patia, Rogan Josh,",,
1860,,Vindaloo,350g,
1861,,"Kebab, rashmi, seesh, shami, as starter",140g,
1862,,"Meat tikka, main course",200g,
1863,,"Samosa, meat, small",40g,
1864,,medium,70g,
1865,,large,I2Og,
1866,,"Tandoori chicken, as starter",JOOg,
1867,,"Tandoori chicken, main course,",,
1868,,half chicken,700g,
1869,,edible portion,350g,
1870,,whole chicken,I400g,
1871,,edible portion,700g,
1872,Irish stew,average portion,330g,
1873,,"canned, 1 large can",425g,
1874,Kebab,average portion meat on skewer,90g,
1875,,"Doner kebab, small, meat",85g,
1876,,pitta bread,75g,
1877,,salad,70g,
1878,,"Doner kebab, large, meat",130g,
1879,,pitta bread,95g,
1880,,salad,90g,
1881,,"Kofte kebab, meat only",90g,
1882,,"Rashmi, Seesh, Shami kebab, Indian",,
1883,,starter,I40g,
1884,,,"Shish kebab, meat on skewer, meat only",85g
1885,,Kidney,"in gravy, average portion",112g
1886,,,in individual steak and kidney pie,15g
1887,,,1 tablespoon cooked kidney,40g
1888,,,"1 whole lamb's kidney, fried",35g
1889,,,1 whole pig's kidney,140g
1890,,Lamb casserole or curry,small average portion,180g
1891,,,medium average portion,260g
1892,,,large average portion,360g
1893,,Lamb chop,"average braising chop, with bone",I20g
1894,,,edible portion only,70g
1895,,,"average chump chop, with bone, fried or",
1896,,,grilled,120g
1897,,,edible portion only,70g
1898,,,"average cutlet, with bone, fried or grilled",98g
1899,,,edible portion only,50g
1900,,"Lamb, roast",small average portion,50g
1901,,,medium average portion,90g
1902,,,large average portion,I50g
1903,,,average slice,30g
1904,,Lasagne,average portion,420g
1905,,,purchased frozen ready meal for one,290g
1906,,Liver,"1 slice lamb's/calf's, fried or grilled",40g
1907,,,"I slice pig's/ox, fried or grilled",50g
1908,,,1 portion fried or grilled,JOOg
1909,,,"1 portion, in gravy, liver only",70g
1910,,,"1 portion, with onions in gravy,",
1911,,,purchased frozen,142g
1912,,Luncheon meat,average slice,I4g
1913,,,thick slice,20g
1914,,Meat dishes,average portions,
1915,,,Cannelloni,340g
1916,,,Chicken chow mein,300g
1917,,,"Chilli con came, no rice",220g
1918,62.0,,,
1919,,Hot-pots,260g,
1920,,Irish stew,260g,
1921,,Lasagne,420g,
1922,,"Meatballs, 6 meat balls, canned",80g,
1923,,Moussaka,330g,
1924,,"Shepherds pie, Cottage pie",310g,
1925,,"Spaghetti bolognese, sauce only",240g,
1926,,"stews, casseroles, average",260g,
1927,,"Tacos, 1 filled shell, meat only",65g,
1928,,taco shell,14g,
1929,Minute steak,average fried,80g,
1930,,grilled,78g,
1931,Partridge,see game,,
1932,Pastie,"see cornish pastie, beef pies",,
1933,Pâté,average portion as starter,80g,
1934,,average on slice of bread,40g,
1935,Pheasant,see game,,
1936,Pies,"see beef pies, chicken pies, pork pies,",,
1937,,sausage rolls,,
1938,Pigeon,see game,,
1939,Pork casserole or curry,"average portion, small",180g,
1940,,medium,260g,
1941,,large,360g,
1942,Pork chops,"chump chops, no bone fried or grilled",170g,
1943,,"lean pork escalope, fried or grilled",75g,
1944,,"loin steaks, no bone, fried or grilled",120g,
1945,,"rib end chops, with bone, fried or grilled",165g,
1946,,edible portion,85g,
1947,,"shoulder steak, no bone, fried or grilled",135g,
1948,,"spare rib chops, with bone, fried or",,
1949,,grilled,220g,
1950,,edible portion,140g,
1951,,,,I
1952,,"streaky slices, with bone, fried or grilled",170g,
1953,,edible portion,hOg,
1954,,"other pork chops, average, with bone,",,
1955,,fried or grilled,150g,
1956,,edible portion,75g,
1957,Pork luncheon meat,"thinly sliced, 1 slice",14g,
1958,Pork pies,buffet pie,75g,
1959,,individual pie,140g,
1960,,large/family pie,450g,
1961,,mini pie,50g,
1962,,slice pie,60g,
1963,,slice Grosvenor pork pie,113g,
1964,,"veal and ham pie, 1 slice",140g,
1965,"Pork, roast",small average portion,50g,
1966,,medium average portion,90g,
1967,,large average portion,150g,
1968,,average slice,40g,
1969,,"thinly sliced pork, 1 slice",28g,
1970,Rabbit,see game,,
1971,Ravioli,"see Pasta, rice and grains",,
1972,Rump steak,"average, 5oz, fried",103g,
1973,,grilled,102g,
1974,Salami,I small average slice (diameter 5cm),5g,
1975,,1 large average slice (diameter 11cm),12g,
1976,,1 snack salami (peperami),25g,
1977,Sausage rolls,"1 sausage roll, small",32g,
1978,,medium,60g,
1979,,large/jumbo,145g,
1980,,1 'mini cocktail' sausage roll,14g,
1981,Sausages,"1 chipolata, fried or grilled",20g,
1982,,1 Chorizos snack sausage,30g,
1983,,1 cocktail sausage fried or grilled,lOg,
1984,,"I German sausage, bratwurst",75g,
1985,,"I hot dog sausage/frankfurter, small",23g,
1986,,large,47g,
1987,,"1 kabanos sausage, snack",30g,
1988,,McDonald's Sausage and Egg McMuffin,171g,
1989,,I Peperami,25g,
1990,,"1 pork/beef, buffet, fried or grilled",12g,
1991,,"1 pork/beef, large fried or grilled",40g,
1992,,"1 pork/beef, thin, fried or grilled",20g,
1993,,1 saveloy,65g,
1994,,sausage in batter,115g,
1995,,Wimpy Bender (frankfurter) in a bun,140g,
1996,Scotch eggs,see Egg and egg dishes,,
1997,Scotch pie,individual,112g,
1998,Shepherds pie,"cottage pie, average portion",310g,
1999,,purchased frozen ready meal for one,210g,
2000,Spam,1 average slice,14g,
2001,,fritter,30g,
2002,Spare rib chops,"with bone, fried or grilled",220g,
2003,,edible portion,140g,
2004,Spare ribs,"1 rack, 4 ribs, with bone",120g,
2005,,edible portion,60g,
2006,,"average portion, no bone",120g,
2007,,Chinese spare ribs in sauce,340g,
2008,,"Kentucky, spare ribs with bone",224g,
2009,,"spare ribs in full house, with",,
2010,,bone,112g,
2011,,1 Ungers King Rib,60g,
2012,Spring roll,see Meat and Vegetable sections,,
2013,Steak,see beef,,
2014,Steak and kidney pies,see beef pies,,
2015,Steak and kidney puddings,see beef pies,,
2016,,Stewing steak,see beef stewed,
2017,,Tandoori chicken,see Indian dishes,
2018,,T-bone steak,"average, 8oz, fried",169g
2019,,,grilled,166g
2020,,Tongue,1 average slice,
2021,,Tripe,"1 average portion, stewed",150g
2022,,Turkey breast roll,"thinly sliced, 1 slice",hg
2023,,Turkey burger,I breaded and fried,90g
2024,,"Turkey, roast",small average portion,70g
2025,,,medium average portion,90g
2026,,,large average portion,140g
2027,,,"thinly sliced, 1 slice",23g
2028,,,1 average steak,lOOg
2029,,Turkey roll,1 slice,19g
2030,,Veal and ham pie,1 slice,140g
2031,,"Veal, cutlet/escalope","in breadcrumbs, fried",150g
2032,,Venison,1 average portion,120g
2033,66.0,,,
2034,MILK AND CREAM,,,
2035,Milk and cream,,,
2036,Milk,1 pint,585g,
2037,,1⁄2 pint,293g,
2038,,1⁄2 pint,I95g,
2039,,1/4 pint,146g,
2040,,'/8 pint,73g,
2041,,1 tablespoon,I5g,
2042,,1 dessertspoon,JOg,
2043,,1 teaspoon,,
2044,,"whole, in 1 cup tea/coffee",25g,
2045,,in 1 mug tea/coffee,30g,
2046,,"semi-skimmed, in 1 cup tea/coffee",30g,
2047,,in 1 mug tea/coffee,40g,
2048,,"skimmed, in 1 cup tea/coffee",35g,
2049,,in 1 mug tea/coffee,50g,
2050,,average glass,200g,
2051,,"with cereals, average portion",JOOg,
2052,,"canned, semi-skimmed, ready to drink",300g,
2053,,"dried milk, 1 teaspoon",3g,
2054,,"evaporated, 1 small can",170g,
2055,,individual portion pack for tea,15g,
2056,Coffee whitener powder,1 teaspoon,3g,
2057,,1 heaped teaspoon,4.5g,
2058,,"1 sachet, Coffee-mate",3g,
2059,,"1 heaped teaspoon, Coffee-mate Lite",4.5g,
2060,Cream,1 small carton (5 fi. oz),150g,
2061,,I large carton (10 ii. oz),300g,
2062,,"1 tablespoon, single",15g,
2063,,"1 tablespoon, double, whipped",30g,
2064,,"1 tablespoon, aerosol cream",lOg,
2065,,individual portion pack for coffee,15g,
2066,,fresh cream whipped on fruit or cake,45g,
2067,,aerosol cream on fruit or cake,17g,
2068,Dream Topping,on fruit or cake,15g,
2069,Dried milk,1 teaspoon,3g,
2070,,,,ii
2071,,Flavoured milk,Aero chocolate drinks,192g
2072,,,"Crazy Milk, individual carton",214g
2073,,,bottle (500 mIs),544g
2074,,,Mars bar milk (200 ml),227g
2075,,,Nesquik semi-skimmed,190g
2076,,"Milkshake, thick with ice-",,
2077,,cream,McDonald's,300g
2078,,Super whip,average portion,38g
2079,,Tip Top dessert topping,3 dessertspoons,50g
2080,,Yoghurt drinks,see Yoghurt section,
2081,68.0,,,
2082,MISCELLANEOUS,,,
2083,Baking powder,1 level teaspoon,,
2084,Bovril,see Marmite,,
2085,Cherry,"glacé or maraschino, 1",5g,
2086,Complan,1 sachet,57g,
2087,Curry powder,1 level teaspoon,3g,
2088,Glacé cherry,1,5g,
2089,Gravy browning,1 teaspoon,5g,
2090,Herbs,"dried, 1 teaspoon",Ig,
2091,Hundreds and thousands,1 teaspoon,4g,
2092,Maraschino cherry,1,5g,
2093,"Marmite, Bovril",thin scraping on bread,Ig,
2094,,thick scraping on bread,,
2095,,I heaped teaspoon,18g,
2096,,1 level teaspoon,99,
2097,Mustard,I level teaspoon,8g,
2098,,"powder, 1 level teaspoon",3g,
2099,Oxo,"stock cube, 1",7g,
2100,Parsley,"dried, I level teaspoon",Ig,
2101,,"fresh, 1 large sprig",Ig,
2102,Pepper,1 level teaspoon,2g,
2103,Salt,1 level teaspoon,5g,
2104,,1 heaped teaspoon,8g,
2105,Spices,"dried, 1 teaspoon",3g,
2106,,,,69.0
2107,Stock cube,"Knort, 1",99,
2108,,"Oxo, 1",óg,
2109,Stuffing,1 portion,50g,
2110,Vinegar,1 teaspoon,5g,
2111,,1 tablespoon,15g,
2112,Yeast extract,see Marmite,,
2113,NUTS AND SEEDS,,,
2114,Almonds,6 whole,13g,
2115,Brazil nuts,3 whole,lOg,
2116,Cashew nuts,10 whole,lOg,
2117,,"roasted, salted, per bag",25g/50g/lOOg,
2118,Chestnuts,"5 whole, peeled",50g,
2119,Cob nuts,"hazelnuts, 10 whole",lOg,
2120,Macademia nuts,"6, no shell",lOg,
2121,Mixed nuts and raisins,"per bag, Golden Wonder",40g,
2122,,"per bag, Big D, KP, Percy Dalton",50g,
2123,Monkey nuts,1 with shell,2g,
2124,Peanuts,10 whole,13g,
2125,,"roasted, salted, per bag, small",25g,
2126,,medium,50g,
2127,,large,lOOg,
2128,,"dry roasted, per bag",50g/lOOg,
2129,,"steam nuts, per bag",45g,
2130,Peanut butter,thickly spread on one slice,20g,
2131,,thinly spread on one slice,12g,
2132,,1 portion pack,25g,
2133,Peanuts and raisins,1 handful,40g,
2134,Pecan nut,"I, no shell",6g,
2135,Pistachio nuts,"10, kernels only",lOg,
2136,Popcorn,caramel coated,25g/75g,
2137,Sesame seeds,1 tablespoon,12g,
2138,Sesame seed spread,"Tahini, 1 heaped teaspoon",19g,
2139,Sunflower seeds,1 tablespoon,16g,
2140,Tahim,1 heaped teaspoon,19g,
2141,Walnuts,6 halves,20g,
2142,"PASTA, RICE AND GRAINS",,,
2143,"Barley, pearl boiled, 1 tablespoon",20g,,
2144,"1 tablespoon dried, after boiling",60g,,
2145,Bran 1 tablespoon,7g,,
2146,Cornflour I heaped tablespoon,30g,,
2147,"Cous-cous cracked wheat, average portion",150g,,
2148,1 tablespoon,33g,,
2149,Custard powder 1 heaped tablespoon,30g,,
2150,"Dumpling, suet 1 average",70g,,
2151,"Flour any, 1 level tablespoon",20g,,
2152,1 heaped tablespoon,30g,,
2153,Lasagne see Meat,,,
2154,"Macaroni boiled, small average portion",I50g,,
2155,medium,230g,,
2156,large,350g,,
2157,1 tablespoon,30g,,
2158,Macaroni cheese average portion,220g,,
2159,"canned, average portion",210g,,
2160,large can,430g,,
2161,small can,210g,,
2162,purchased frozen ready meal for one,280g,,
2163,"Noodles instant, 1 packet, made up",280g,,
2164,Oats 1 tablespoon,15g,,
2165,1 tablespoon jumbo oats,lOg,,
2166,"Pasta cooked, small average portion",150g,,
2167,medium average portion,230g,,
2168,large average portion,350g,,
2169,,,"canned in tomato sauce, side dish",
2170,,,average portion,125g
2171,,,large can,425g
2172,,,small can,215g
2173,,,1 tablespoon,30g
2174,,,"purchased ready meal, for one",235g
2175,,,"salad, can",210g
2176,,Pot-noodles,as served,300g
2177,,Ravioli,average portion,250g
2178,,,"canned, average portion",220g
2179,,,large can,440g
2180,,,small can,215g
2181,,,1 tablespoon,45g
2182,,Rice,"boiled, average portion, small",JOOg
2183,,,medium,I80g
2184,,,large,290g
2185,,,1 heaped tablespoon,40g
2186,,,"boiledlfried, take-away portion",300g
2187,,,"pilau (fried) rice, average portion",180g
