,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Weight,PurEqualCon,Portion Consumed,Source
353,17-705,barbecue sauce,WC,"Soups, sauces and miscellaneous foods",,170g,Y,"frozen, purchased",FPS
354,17-678,"brown sauce, reduced salt/sugar",WCN,"Soups, sauces and miscellaneous foods",,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
355,17-697,"chicken soup, cream of, canned, condensed, as served",WAC,"Soups, sauces and miscellaneous foods",can,250ml,Y,slim can,FPS
356,17-719,chilli sauce,WC,"Soups, sauces and miscellaneous foods",,170g,Y,"frozen, purchased",FPS
357,,cheese sauce,WCD,"Soups, sauces and miscellaneous foods",,116g,Y,average,FPS
358,17-345,"chutney, tomato",WCG,"Soups, sauces and miscellaneous foods",jar,116g,Y,average,FPS
359,17-358,cream of tartar,WY,"Soups, sauces and miscellaneous foods",sachet,30g,Y,bar,FPS
360,17-715,"dressing, blue cheese",WCG,"Soups, sauces and miscellaneous foods",,116g,Y,average,FPS
361,17-701,"dressing, french",WCG,"Soups, sauces and miscellaneous foods",,114g,Y,bar,FPS
362,17-717,"dressing, thousand island",WCG,"Soups, sauces and miscellaneous foods",,37g,Y,packet,FPS
363,,"guacamole, retail",WC,"Soups, sauces and miscellaneous foods",,165g,Y,,FPS
364,17-360,gelatine,WY,"Soups, sauces and miscellaneous foods",,200g,Y,I small bottle,FPS
365,17-724,gravy instant granules,WY,"Soups, sauces and miscellaneous foods",,11g,Y,"1 sachet, average",FPS
366,,"hollandaise sauce, retail",WC,"Soups, sauces and miscellaneous foods",jar,170g,Y,"frozen, purchased",FPS
367,,"hollandaise sauce, vegan, retail",WC,"Soups, sauces and miscellaneous foods",jar,400g,Y,jar,Ocado Website
368,17-654,"mayonnaise, standard, retail",WCG,"Soups, sauces and miscellaneous foods",,165g,Y,,FPS
369,17-364,"mustard, smooth",WY,"Soups, sauces and miscellaneous foods",jar,125g,Y,1 can ,FPS
370,17-623,"pesto, red",WC,"Soups, sauces and miscellaneous foods",jar,55g,"Y, P",individual,Tesco Website
371,17-718,"pickle, sweet",WCG,"Soups, sauces and miscellaneous foods",jar,300g,Y,,FPS
372,17-702,piccalilli,WCN,"Soups, sauces and miscellaneous foods",jar,20g,Y,1 portion pack,FPS
373,17-354,"relish, tomato based",WCN,"Soups, sauces and miscellaneous foods",jar,116g,Y,average,FPS
374,17-711,"soup, minestrone, canned",WA,"Soups, sauces and miscellaneous foods",can,250ml,Y,slim can,FPS
375,17-695,"soup, chicken, cream of, canned",WAC,"Soups, sauces and miscellaneous foods",can,250ml,Y,slim can,FPS
376,17-652,"soup, cream of tomato, canned",WAC,"Soups, sauces and miscellaneous foods",can,250ml,Y,slim can,FPS
377,17-698,"soup, lentil, canned",WAC,"Soups, sauces and miscellaneous foods",can,250ml,Y,slim can,FPS
378,17-700,"soup, oxtail, canned",WAC,"Soups, sauces and miscellaneous foods",can,250ml,Y,slim can,FPS
379,17-712,"soup, vegetable, canned",WAC,"Soups, sauces and miscellaneous foods",can,250ml,Y,slim can,FPS
380,17-653,"soup, instant, dried, as purchased",WAE,"Soups, sauces and miscellaneous foods",can,11g,Y,"1 sachet, average",FPS
381,17-628,"sauce, chinese cook in, sweet & sour",WC,"Soups, sauces and miscellaneous foods",,160g,Y,"fast food outlet, average",FPS
382,17-629,"sauce, chinese stir fry",WC,"Soups, sauces and miscellaneous foods",,50g,Y,bar,FPS
383,17-703,salad cream,WCG,"Soups, sauces and miscellaneous foods",,50g,Y,bar,FPS
384,,"sauce, sweet and sour, retail",WCN,"Soups, sauces and miscellaneous foods",jar,50g,Y,bar,FPS
385,17-721,"soy sauce, light and dark varieties",WCN,"Soups, sauces and miscellaneous foods",,266g,Y,,Ocado Website
386,17-367,salt,WY,"Soups, sauces and miscellaneous foods",,25g,Y,"small, per bag",FPS
387,17-515,"stock cubes, beef",WY,"Soups, sauces and miscellaneous foods",,213g,Y,small,FPS
388,17-680,stock gel,WY,"Soups, sauces and miscellaneous foods",,100g,Y,1 average stick,FPS
389,17-681,"stock, chicken, ready made, retail",WY,"Soups, sauces and miscellaneous foods",,130g,Y,,FPS
390,17-339,vinegar,WY,"Soups, sauces and miscellaneous foods",,10g,Y,per bag,FPS
391,,"white sauce, retial",WCD,"Soups, sauces and miscellaneous foods",jar,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
392,,"white sauce, vegan, retial",WCD,"Soups, sauces and miscellaneous foods",jar,400g,Y,jar,Ocado Website
393,17-723,worcestershire sauce,WCN,"Soups, sauces and miscellaneous foods",,170g,Y,"frozen, purchased",FPS
394,17-377,"water, distilled",WY,"Soups, sauces and miscellaneous foods",,500g,Y,large,FPS
395,17-517,yeast extract,WY,"Soups, sauces and miscellaneous foods",jar,170g,Y,1 average vending machine cup,FPS
396,17-659,chocolate spread,SC,"Sugars, preserves and snacks",jar,11g,Y,"1 sachet, average",FPS
397,17-658,chocolate covered bar with caramel and cereal,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",11g,Y,"1 sachet, average",FPS
398,17-763,creme egg,SEA,"Sugars, preserves and snacks",individual,40g,Y,,FPS
399,17-645,corn snacks,SN,"Sugars, preserves and snacks",bag,100g,Y,per bag,FPS
400,,"chevda/chevra/chewra, retial",SNC,"Sugars, preserves and snacks",,,,,
401,17-049,"glucose liquid, bp",SC,"Sugars, preserves and snacks",tube,170g,Y,"in sauce, purchased, frozen",FPS
402,17-050,honey,SC,"Sugars, preserves and snacks",jar,135g,Y,,FPS
403,17-689,"ice cream sauce, topping, strawberry and chocolate flavours",SC,"Sugars, preserves and snacks",,11g,Y,"1 sachet, average",FPS
404,17-075,"jam, reduced sugar",SC,"Sugars, preserves and snacks",jar,29g,Y,bar,FPS
405,17-777,liquorice allsorts,SEC,"Sugars, preserves and snacks",bag,115g,Y,box,FPS
406,17-078,marmalade,SC,"Sugars, preserves and snacks",jar,20g,Y,1 individual carton,FPS
407,17-651,maltesers and similar products,SEA,"Sugars, preserves and snacks","individual bag, share bag",50g,Y,bar,FPS
408,17-668,mars bar and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",50g,Y,standard bar,FPS
409,17-669,milky way and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",50g,Y,bar,FPS
410,17-114,marshmallows,SEC,"Sugars, preserves and snacks",,40g,Y,bag,FPS
411,,nougat,SEC,"Sugars, preserves and snacks",,114g,Y,bar,FPS
412,17-117,peppermints,SEC,"Sugars, preserves and snacks",,44g,Y,tube,FPS
413,17-692,"popcorn, salted, retail",SN,"Sugars, preserves and snacks",,25g,Y,"small, per bag",FPS
414,17-132,pork scratchings,SN,"Sugars, preserves and snacks",bag,300g,Y,,FPS
415,17-693,"potato crisps, low fat",SN,"Sugars, preserves and snacks",bag,32g,Y,1 sachet,FPS
416,17-060,"sugar, brown",SC,"Sugars, preserves and snacks",bag,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
417,17-062,"sugar, icing",SC,"Sugars, preserves and snacks",bag,6g,Y,1 'packet' sugar,FPS
418,17-063,"sugar, white",SC,"Sugars, preserves and snacks",bag,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
419,17-065,"syrup, golden",SC,"Sugars, preserves and snacks",tin,100g,Y,,FPS
420,17-096,smartie-type sweets,SEA,"Sugars, preserves and snacks",tube,37g,Y,tube,FPS
421,,"ackee, canned",DG,Vegetables,tin,250ml,Y,slim can,FPS
422,13-146,"agar, dried",DG,Vegetables,,300g,Y,1 packet made up,FPS
423,13-148,"alfalfa sprouts, raw",DG,Vegetables,,75g,Y,1 raw small eating (6 to lb) ,FPS
424,13-149,"amaranth leaves, raw",DG,Vegetables,,75g,Y,1 raw small eating (6 to lb) ,FPS
425,13-151,"arrowhead, raw",DG,Vegetables,,75g,Y,1 raw small eating (6 to lb) ,FPS
426,13-153,"artichoke, globe, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
427,,"artichoke, canned",DG,Vegetables,tin,250ml,Y,slim can,FPS
428,,"artichoke, jar",DG,Vegetables,jar,300g,Y,1 packet made up,FPS
429,13-157,"asparagus, raw",DG,Vegetables,"bunch, packet",75g,Y,1 raw small eating (6 to lb) ,FPS
430,13-161,"aubergine, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
431,13-532,"baked beans, canned in tomato sauce",DB,Vegetables,tin,250ml,Y,slim can,FPS
432,13-041,"beans, aduki, whole, dried, raw",DB,Vegetables,packet,51g,Y,standard,FPS
433,,"beans, aduki, canned",DB,Vegetables,tin,250ml,Y,slim can,FPS
434,13-062,"beans, blackeye, whole, dried, raw",DB,Vegetables,packet,51g,Y,standard,FPS
435,,"beans, blackeye, canned",DB,Vegetables,tin,250ml,Y,slim can,FPS
436,13-070,"beans, butter, dried, raw",DB,Vegetables,packet,175g,Y,,Ocado Website
437,,"beans, butter, canned",DB,Vegetables,tin,250ml,Y,slim can,FPS
438,13-074,"beans, chick peas, kabuli, whole, dried, raw",DB,Vegetables,packet,51g,Y,standard,FPS
439,,"beans, chick peas, canned",DB,Vegetables,tin,250ml,Y,slim can,FPS
440,13-080,"beans, cluster, raw",DB,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
441,,"beans, edamame, frozen",DB,Vegetables,packet,295g,"Y, P",with cheese,Tesco Website
442,,"beans, edamame, canned",DB,Vegetables,tin,250ml,Y,slim can,FPS
443,13-514,"beans, green, raw",DB,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
444,13-086,"beans, haricot, whole, dried, raw",DB,Vegetables,jar,51g,Y,standard,FPS
445,,"beans, haricot, canned",DB,Vegetables,tin,250ml,Y,slim can,FPS
446,13-098,"beans, mung, dahl, dried, raw",DB,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
447,13-102,"beans, pigeon peas, whole, dried, raw",DB,Vegetables,packet,51g,Y,standard,FPS
448,13-106,"beans, pinto, dried, raw",DB,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
449,,"beans, pinto, canned, ",DB,Vegetables,tin,250ml,Y,slim can,FPS
450,13-109,"beans, red kidney, dried, raw",DB,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
451,,"beans, red kidney, canned",DB,Vegetables,tin,250ml,Y,slim can,FPS
452,13-112,"beans, runner, raw",DB,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
453,13-115,"beans, soya, dried, raw",DB,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
454,13-117,"beans, sword, raw",DB,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
455,13-426,"beansprouts, mung, raw",DB,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
456,13-056,"black gram, urad gram, whole, dried, raw",DB,Vegetables,packet,630g,Y,,FPS
457,13-164,"beetroot, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
458,13-167,"breadfruit, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
459,13-502,"broccoli, green, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
460,13-174,"broccoli, purple sprouting, raw",DG,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
461,13-177,"brussels sprouts, raw",DG,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
462,,"beanburger, retail",DR,Vegetables,packet,165g,Y,,FPS
463,,"beanburger, vegetarian",DR,Vegetables,packet,150g,Y,average,FPS
464,13-067,"beans, broad, dried, raw",DB,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
465,,"beans, broad, canned",DB,Vegetables,tin,250ml,Y,slim can,FPS
466,13-064,"beans, broad, whole, raw, without pod",DB,Vegetables,packet,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
467,,"beans, cannellini, canned",DB,Vegetables,can,250ml,Y,slim can,FPS
468,13-582,"cabbage, average, raw",DG,Vegetables,"loose, individual",330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
469,13-187,"cabbage, chinese, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
470,13-510,"cabbage, green, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
471,13-190,"cabbage, red, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
472,13-509,"cabbage, white, raw",DG,Vegetables,"loose, individual",330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
473,13-448,"carrots, young, raw",DG,Vegetables,"loose, individual, bag",75g,Y,1 raw small eating (6 to lb) ,FPS
474,13-512,"cauliflower, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
475,13-219,"celeriac, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
476,13-636,"celery, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
477,13-223,"chard, swiss, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
478,13-225,"chicory, pale variety, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
479,13-627,"courgette, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
480,13-234,"curly kale, raw",DG,Vegetables,bag,29g,Y,,FPS
481,,"casserole, vegetable, retail",DR,Vegetables,packet,340g,Y,,FPS
482,15-637,"cauliflower cheese, retail",DR,Vegetables,packet,116g,Y,average,FPS
483,15-635,"coleslaw, not low calorie, retail",DR,Vegetables,packet,32g,Y,1 sachet,FPS
484,,"curry, vegetable, mixed, canned",DR,Vegetables,tin,250ml,Y,slim can,FPS
485,13-244,"garlic, raw",DG,Vegetables,"individual, pack",20g,Y,1 slice,FPS
486,13-245,"gherkins, raw",DG,Vegetables,jar,75g,Y,1 raw small eating (6 to lb) ,FPS
487,13-608,"green beans, dried",DI,Vegetables,packet,170g,Y,small tin,FPS
488,,"green beans, in water, canned ",DI,Vegetables,tin,250ml,Y,slim can,FPS
489,13-556,houmous,DB,Vegetables,packet,,,,
490,13-258,"horseradish, raw",DG,Vegetables,,75g,Y,1 raw small eating (6 to lb) ,FPS
491,13-261,"kohl rabi, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
492,15-809,khadhi,DR,Vegetables,,350g,Y,average,FPS
493,13-089,"lentils, green and brown, whole, dried, raw",DB,Vegetables,packet,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
494,,"lentils, canned",DB,Vegetables,can,250ml,Y,slim can,FPS
495,13-624,"leeks, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
496,13-520,"lettuce, average, raw",DG,Vegetables,"loose, individual",330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
497,13-271,"lotus tubers, raw",DG,Vegetables,,75g,Y,1 raw small eating (6 to lb) ,FPS
498,15-651,"lasagne, vegetable, retail",DR,Vegetables,packet,290g,Y,"purchased ready meal for one, average",FPS
499,13-505,"mushrooms, white, raw",DG,Vegetables,packet,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
500,13-298,"mustard leaves, raw",DG,Vegetables,,125g,Y,1 can ,FPS
501,15-652,"moussaka, vegetable, retail",DR,Vegetables,packet,340g,Y,,FPS
502,13-300,"okra, raw",DG,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
503,13-499,"onions, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
504,,"potatoes,",DA,Vegetables,,75g,Y,small,FPS
505,,"potato chips,",DAP,Vegetables,,320g,Y,purchased frozen ready meal for one,FPS
506,,"potato wedges, retail, ",DAR,Vegetables,,320g,Y,purchased frozen ready meal for one,FPS
507,,"peas, canned in water",DF,Vegetables,tin,250ml,Y,slim can,FPS
508,13-527,"peas, frozen, raw",DF,Vegetables,,295g,"Y, P",with cheese,Tesco Website
509,,"pak choi, raw",DG,Vegetables,,75g,Y,1 raw small eating (6 to lb) ,FPS
510,13-311,"papaya, unripe, green flesh, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
511,13-312,"parsnip, raw",DG,Vegetables,"loose, individual, packet",75g,Y,1 raw small eating (6 to lb) ,FPS
512,13-524,"pepper, capsicum, red, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
513,13-323,"plantain, green flesh, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
514,13-326,"pumpkin, flesh only, raw",DG,Vegetables,"loose, individual",75g,Y,1 raw small eating (6 to lb) ,FPS
515,15-262,quorn korma,DR,Vegetables,,350g,Y,average,FPS
516,13-332,"radish leaves, raw",DG,Vegetables,,75g,Y,1 raw small eating (6 to lb) ,FPS
517,13-522,"rocket, raw",DG,Vegetables,packet,100g,Y,1 average stick,FPS
518,15-869,"roulade, spinach",DR,Vegetables,,37g,Y,packet,FPS
519,13-521,"spinach, baby, raw",DG,Vegetables,packet,130g,Y,,FPS
520,13-359,"swede, flesh only, raw",DG,Vegetables,,75g,Y,1 raw small eating (6 to lb) ,FPS
521,,"swede, raw,flesh and skin",DG,Vegetables,,50g,Y,bar,FPS
522,13-463,"sweet potato, raw, flesh only",DG,Vegetables,packet,320g,Y,purchased frozen ready meal for one,FPS
523,,"sweet potato, raw, flesh and skin",DG,Vegetables,packet,50g,Y,bar,FPS
524,,"sweetcorn kernels, canned",DG,Vegetables,tin,250ml,Y,slim can,FPS
525,13-622,"sweetcorn, kernels, raw",DG,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
526,,sweetcorn on a cob,DG,Vegetables,packet,105g,Y,average,FPS
527,15-872,"salad, pasta, vegetables and mayonnaise",DR,Vegetables,,50g,Y,bar,FPS
528,15-883,"shepherd's pie, vegetable",DR,Vegetables,,11g,Y,1 sachet,FPS
529,15-617,"sushi, vegetable",DR,Vegetables,,340g,Y,,FPS
530,,"vegetables, mixed, frozen",DG,Vegetables,,295g,"Y, P",with cheese,Tesco Website
531,15-656,"vegeburger, retail, grilled",DR,Vegetables,,165g,Y,,FPS
532,,"vegetable stir fry mix,",DR,Vegetables,packet,50g,Y,bar,FPS
533,13-673,"watercress, raw",DG,Vegetables,packet,75g,Y,1 raw small eating (6 to lb) ,FPS
534,13-397,"yam, flesh only, raw",DG,Vegetables,,75g,Y,1 raw small eating (6 to lb) ,FPS
