,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Source,Similarity Score,Weight,PurEqualCon,Portion Consumed
0,17-208,beer bitter best premium,QA,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",,0.60179913,333g,Y,small can
1,17-224,cider sweet,QC,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",,0,,,
2,17-234,port,QF,Alcoholic beverages,bottle,,0,,,
3,17-236,sherry medium,QF,Alcoholic beverages,bottle,,0.792070194,200g,Y,medium
4,17-247,spirits 40% volume,QK,Alcoholic beverages,"bottle, miniature",,0.707106781,29g,Y,1 miniature
5,17-239,vermouth dry,QG,Alcoholic beverages,bottle,,0.585808251,,,
6,17-752,wine red,QE,Alcoholic beverages,"bottle, small bottle, box",,0.711738917,750ml,Y,1 average bottle
7,17-756,wine white medium,QE,Alcoholic beverages,"bottle, small bottle, box",,0.436784423,,,
8,14-272,apple juice concentrate unsweetened commerical,PE,Beverages,"carton, tetrapak, bottle",,0.382359964,,,
9,17-632,coffee cappuccino latte,P,Beverages,,,0.537875534,,,
10,17-175,cola,PCA,Beverages,"can, ready to drink bottle, sharing bottle",,0,,,
11,17-744,cranberry fruit juice drink,PE,Beverages,"carton, tetrapak, bottle",,0.491516141,,,
12,17-498,drinking chocolate powder,PAA,Beverages,,,0.536800808,,,
13,17-672,energy drink carbonated,PCA,Beverages,"can, ready to drink bottle, sharing bottle",,0.746239174,330ml,Y,standard can
14,17-745,grape juice unsweetened,PE,Beverages,"carton, tetrapak, bottle",,0.533119355,,,
15,17-731,horlicks powder,PAA,Beverages,,,0.534963322,,,
16,17-179,lemonade,PCA,Beverages,"can, ready to drink bottle, sharing bottle",,0,,,
17,17-761,lucozade,PCA,Beverages,"ready to drink bottle, sharing bottle",,0,,,
18,17-751,lager premium,QA,Beverages,"can, multipack can, bottle, multipack bottle",,0.60179913,333g,Y,small can
19,17-244,liqueurs high strength,QI,Beverages,"bottle, miniature",,0.8017021,150g,Y,pots
20,17-733,milk shake powder,PAA,Beverages,,,0.595809262,,,
21,17-734,ovaltine powder,PAA,Beverages,,,0,,,
22,11-001,arrowroot,AA,Cereals and cereal products,,,0,,,
23,11-002,barley pearl,AA,Cereals and cereal products,packet,,0.653897539,180g,Y,I bottle
24,11-906,bran wheat,AA,Cereals and cereal products,cereal box,,0,,,
25,11-006,buckwheat groats,AA,Cereals and cereal products,packet,,0,,,
26,11-1144,bread rolls brown crusty,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.437122973,,,
27,11-1006,bread rolls white soft,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.385388461,,,
28,11-971,bread brown average,AF,Cereals and cereal products,loaf,,0.406249003,,,
29,11-969,bread ciabatta,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.546808896,,,
30,11-937,bread garlic and herb,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.66582184,20g,Y,1 slice
31,11-910,bread naan peshwari naan takeaway and,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.675200351,260g,"Y, P",2 in a pack
32,11-973,bread naan,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.747909276,260g,"Y, P",2 in a pack
33,11-974,bread pitta white,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.372316196,,,
34,11-947,bread seeded,AF,Cereals and cereal products,loaf,,0.546808896,,,
35,11-1145,bread white average,AF,Cereals and cereal products,loaf,,0.346019525,,,
36,11-977,bread white farmhouse or split tin,AF,Cereals and cereal products,loaf,,0.324142016,,,
37,11-978,bread white french stick,AF,Cereals and cereal products,baguette,,0.331416808,,,
38,11-980,bread white sliced,AF,Cereals and cereal products,loaf,,0.287840536,,,
39,11-981,bread wholemeal average,AF,Cereals and cereal products,loaf,,0.472316365,,,
40,11-983,bread rolls brown soft,AG,Cereals and cereal products,"loose, individual
multiple pack",,0.385388461,,,
41,11-984,bread rolls malted wheat,AG,Cereals and cereal products,"loose, individual
multiple pack",,0.546808896,,,
42,11-985,bread rolls white crusty,AG,Cereals and cereal products,"loose, individual
multiple pack",,0.372316196,,,
43,11-986,bread rolls wholemeal,AG,Cereals and cereal products,"loose, individual
multiple pack",,0.546808896,,,
44,11-763,breakfast cereal bran flakes fortified,AI,Cereals and cereal products,cereal box,,0,,,
45,11-742,breakfast cereal cornflakes fortified,AI,Cereals and cereal products,cereal box,,0,,,
46,11-779,breakfast cereal fruit and fibre type fortified,AI,Cereals and cereal products,cereal box,,0.489562303,,,
47,11-755,breakfast cereal honey loops and hoops including honey and nut cheerios fortified,AI,Cereals and cereal products,cereal box,,0.500714809,,,
48,11-792,breakfast cereal instant hot oat fortified,AI,Cereals and cereal products,cereal box,,0.360417227,,,
49,11-753,breakfast cereal rice chocolate flavoured fortified,AI,Cereals and cereal products,cereal box,,0.365058523,,,
50,11-778,breakfast cereal shredded wheat honey nut nestle,AI,Cereals and cereal products,cereal box,,0.576897229,,,
51,11-773,breakfast cereal wheat biscuits weetabix type fortified,AI,Cereals and cereal products,cereal box,,0,,,
52,11-821,biscuits cheese flavoured,AM,Cereals and cereal products,wrapper or box,,0.380363208,,,
53,11-815,biscuits cookies chocolate chip standard,AM,Cereals and cereal products,wrapper or box,,0.416170498,,,
54,11-799,biscuits digestive,AM,Cereals and cereal products,wrapper or box,,0,,,
55,11-809,biscuits fully coated with chocolate,AM,Cereals and cereal products,wrapper or box,,0.384664834,,,
56,11-801,biscuits reduced fat,AM,Cereals and cereal products,wrapper or box,,0.442571177,,,
57,11-826,breadsticks,AM,Cereals and cereal products,box,,0,,,
58,,banana bread,AN,Cereals and cereal products,loaf,,0.460124336,,,
59,,brownies chocolate,AN,Cereals and cereal products,,,0.536800808,,,
60,,brownies chocolate baking mix,AN,Cereals and cereal products,packet,,0.515672536,,,
61,11-970,bagels,AP,Cereals and cereal products,"loose, individual
multiple pack",,0,,,
62,,bread and butter pudding,AS,Cereals and cereal products,,,0.322939205,,,
63,11-011,cornmeal sifted,AA,Cereals and cereal products,packet,,0,,,
64,11-988,croissants,AG,Cereals and cereal products,,,0,,,
65,11-820,cream crackers,AM,Cereals and cereal products,wrapper or box,,0.464427012,,,
66,11-839,cakes fancy iced individual,AN,Cereals and cereal products,,,0.524636696,,,
67,11-1020,crumble fruit,AS,Cereals and cereal products,,,0.44536635,,,
68,11-850,doughnuts ring iced,AP,Cereals and cereal products,,,0.633877167,30g,"Y, P",per bag
69,11-849,doughnuts with jam,AP,Cereals and cereal products,,,0.372746804,,,
70,,dumplings,AT,Cereals and cereal products,,,0,,,
71,,biscuit gingerbread,AN,Cereals and cereal products,,,0.402897722,,,
72,,hot cross buns,AP,Cereals and cereal products,packet,,0.282483859,,,
73,11-739,jaffa cakes,AM,Cereals and cereal products,wrapper or box,,0,,,
74,11-846,jam tarts,AS,Cereals and cereal products,,,0.437450331,,,
75,,macaroni cheese,AD,Cereals and cereal products,,,0.762814797,210g,Y,small can
76,11-780,muesli swiss style unfortified,AI,Cereals and cereal products,cereal box,,0.485297972,,,
77,11-737,muffins american chocolate,AN,Cereals and cereal products,,,0.536800808,,,
78,11-848,mince pies,AS,Cereals and cereal products,,,0.537449443,,,
79,11-719,noodles egg dried,AD,Cereals and cereal products,,,0.345276975,,,
80,11-823,oatcakes,AM,Cereals and cereal products,wrapper or box,,0,,,
81,11-936,pizza cheese and tomato,A,Cereals and cereal products,,,0.542607537,,,
82,11-788,porridge oats unfortified,A,Cereals and cereal products,,,0,,,
83,11-726,pasta egg fresh,AD,Cereals and cereal products,,,0.463995677,,,
84,11-718,pasta wholewheat spaghetti dried,AD,Cereals and cereal products,,,0.502295339,,,
85,11-735,pasta spaghetti in tomato sauce,AD,Cereals and cereal products,tin,,0.428832869,,,
86,,papadums,AF,Cereals and cereal products,,,0,,,
87,11-853,pastry shortcrust cooked,AO,Cereals and cereal products,,,0.332714819,,,
88,11-844,pastries chocolate eclairs cream filled,AP,Cereals and cereal products,,,0.703490328,46g,Y,tube
89,,pancakes,AS,Cereals and cereal products,,,0,,,
90,11-544,scotch pancakes,AS,Cereals and cereal products,,,0,,,
91,11-921,pie apple pastry double crust,AS,Cereals and cereal products,,,0.304652105,,,
92,11-847,pie fruit individual,AS,Cereals and cereal products,,,0.581417619,,,
93,,pudding sponge,AS,Cereals and cereal products,,,0.785243122,300g,Y,whole
94,11-1021,pudding sponge,AS,Cereals and cereal products,,,0.785243122,300g,Y,whole
95,,prawn crackers,AT,Cereals and cereal products,packet,,0.874811256,30g/40g,Y,per bag
96,11-866,rice brown basmati,AC,Cereals and cereal products,packet,,0.411641663,,,
97,11-870,rice brown easy cook,AC,Cereals and cereal products,packet,,0.411641663,,,
98,11-874,rice thai fragrant,AC,Cereals and cereal products,packet,,0.554295545,,,
99,11-863,rice white long grain easy cook,AC,Cereals and cereal products,packet,,0.401366253,,,
100,11-940,rusks,AK,Cereals and cereal products,,,0,,,
101,,risotto,AT,Cereals and cereal products,,,0,,,
102,11-903,semolina,AA,Cereals and cereal products,,,0.453198367,,,
103,,sandwich white bread,AB,Cereals and cereal products,,,0.350065968,,,
104,,sandwich brown bread,AB,Cereals and cereal products,,,0.350065968,,,
105,11-802,shortbread,AM,Cereals and cereal products,wrapper or box,,0.667867271,42g,Y,6 shortbread
106,11-544,scotch pancakes,AP,Cereals and cereal products,,,0,,,
107,11-919,strudel fruit filled frozen,AS,Cereals and cereal products,,,0.645084486,600g,Y,6 servings
108,17-371,stuffing mix dried,AT,Cereals and cereal products,,,0.618584971,100g,Y,per bag
109,11-800,wafers ice cream wafers not filled,AM,Cereals and cereal products,,,0.633636688,60g,Y,tub
110,,yorkshire pudding,AT,Cereals and cereal products,,,0.522931382,,,
111,12-937,eggs chicken whole,CA,Eggs,"egg box, 6, 10, 12, 30",,0.420829892,,,
112,12-949,quiche,CD,Eggs,"small individual, large sharing",,0,,,
113,17-487,dripping beef,OF,Fats and oils,jar,,0.585931837,,,
114,17-010,lard,OF,Fats and oils,block,,0,,,
115,17-031,oil coconut,OC,Fats and oils,jar,,0.588430931,,,
116,17-039,oil palm,OC,Fats and oils,bottle,,0.588430931,,,
117,17-044,oil soya,OC,Fats and oils,bottle,,0.588430931,,,
118,17-045,oil sunflower,OC,Fats and oils,bottle,,0.588430931,,,
119,17-686,oil average,OC,Fats and oils,bottle,,0.52279775,,,
120,16-001,ayr,JA,Fish and fish products,,,0,,,
121,,anchovies in oil,JC,Fish and fish products,tin,,0.692247542,200g,Y,1 small can
122,16-385,bass sea flesh only,JA,Fish and fish products,fillet,,0,,,
123,16-003,bele,JA,Fish and fish products,fillet,,0,,,
124,16-004,boal,JA,Fish and fish products,fillet,,0,,,
125,16-005,bombay duck,JA,Fish and fish products,,,0.618584971,100g,Y,per bag
126,16-006,bream sea,JA,Fish and fish products,fillet,,0,,,
127,16-169,bacha,JC,Fish and fish products,fillet,,0,,,
128,16-372,cod flesh only,JA,Fish and fish products,fillet,,0.589882665,,,
129,16-172,carp,JA,Fish and fish products,fillet,,0,,,
130,16-007,catfish,JA,Fish and fish products,fillet,,0,,,
131,16-011,chital,JA,Fish and fish products,fillet,,0,,,
132,16-383,coley flesh only,JA,Fish and fish products,fillet,,0,,,
133,,crab in brine,JK,Fish and fish products,tin,,0.672665521,85g,Y,1 small can
134,,crab,JK,Fish and fish products,,,0.791343603,85g,Y,1 small can
135,,crab white meat,JK,Fish and fish products,,,0.492934615,,,
136,16-235,crayfish,JK,Fish and fish products,,,0,,,
137,,calamari,JM,Fish and fish products,,,0,,,
138,,cockles,JM,Fish and fish products,,,0,,,
139,16-254,cuttlefish,JM,Fish and fish products,,,0,,,
140,,caviare,JR,Fish and fish products,"tin, jar",,0,,,
141,16-173,eel yellow,JC,Fish and fish products,,,0,,,
142,16-375,haddock flesh only,JA,Fish and fish products,,,0,,,
143,16-070,hake flesh only,JA,Fish and fish products,,,0,,,
144,16-081,kalabasu,JA,Fish and fish products,,,0,,,
145,16-186,katla,JA,Fish and fish products,,,0,,,
146,,kippers flesh only,JC,Fish and fish products,,,0,,,
147,16-393,mackerel flesh only,JC,Fish and fish products,,,0.560469639,,,
148,16-497,mussels,JM,Fish and fish products,,,0,,,
149,16-259,octopus,JM,Fish and fish products,,,0,,,
150,16-260,oysters,JM,Fish and fish products,,,0.870745749,105g,Y,1 can smoked oysters
151,16-378,pollock alaskan flesh only,JA,Fish and fish products,,,0,,,
152,16-387,prawns king,JK,Fish and fish products,,,0.674257918,100g,Y,1 small jar prawns
153,14-363,apples cooking flesh only weighed with skin and core,F,Fruit,,,0.350354768,,,
154,14-319,apples eating flesh and skin,F,Fruit,,,0.267063494,,,
155,14-001,amla,FA,Fruit,,,0,,,
156,14-025,apricots flesh and skin,FA,Fruit,punnet,,0.324623371,,,
157,14-392,apricots ready-to-eat semi-dried,FA,Fruit,packet,,0.695211487,125g,Y,per pot
158,14-040,avocado fuerte flesh only weighed with skin and stone,FA,Fruit,"loose, individual",,0.326768763,,,
159,14-387,avocado hass flesh only weighed with skin and stone,FA,Fruit,"loose, individual",,0.326768763,,,
160,14-331,apple juice clear ambient and chilled,FC,Fruit,"carton, tetrapak, bottle",,0.370334777,,,
161,14-043,babaco flesh only,FA,Fruit,"loose, individual",,0,,,
162,14-318,bananas flesh and skin,FA,Fruit,"loose, individual/bunch",,0.324623371,,,
163,14-388,blackberries,FA,Fruit,punnet,,0,,,
164,14-053,blackcurrants,FA,Fruit,punnet,,0,,,
165,14-325,blueberries,FA,Fruit,punnet,,0,,,
166,14-382,cherries flesh and skin,FA,Fruit,punnet,,0.324623371,,,
167,14-326,citrus fruit soft/easy peelers flesh with skin,FA,Fruit,net,,0.392856614,,,
168,14-073,cranberries,FA,Fruit,punnet,,0,,,
169,14-074,currants,FA,Fruit,packet,,0,,,
170,14-077,damsons flesh and skin,FA,Fruit,punnet,,0.324623371,,,
171,14-083,dates flesh and skin,FA,Fruit,packet,,0.324623371,,,
172,14-087,dried mixed fruit,FA,Fruit,packet,,0.423096972,,,
173,14-089,elderberries whole fruit,FA,Fruit,punnet,,0.515864107,,,
174,14-100,gooseberries cooking,FA,Fruit,punnet,,0,,,
175,14-384,grapefruit flesh only,FA,Fruit,"loose, individual",,0.424183278,,,
176,14-322,grapes green,FA,Fruit,punnet,,0.843805533,500g,"Y, P",pack
177,14-118,guava flesh only,FA,Fruit,"loose, individual",,0,,,
178,14-371,kiwi fruit flesh only,FA,Fruit,"loose, individual, punnet",,0.44536635,,,
179,14-373,kiwi fruit flesh only weighed with skin,FA,Fruit,,,0.453671628,,,
180,14-125,kumquats whole fruit,FA,Fruit,punnet,,0.515864107,,,
181,14-128,lemons whole without pips,FA,Fruit,"loose, individual, net",,0.429971366,,,
182,14-131,limes flesh only,FA,Fruit,"loose, individual, net",,0,,,
183,14-132,limes flesh and skin,FA,Fruit,,,0.324623371,,,
184,14-133,loganberries,FA,Fruit,punnet,,0,,,
185,14-277,lemon juice fresh,FC,Fruit,,,0.348651396,,,
186,14-378,mangoes ripe flesh only,FA,Fruit,"loose, individual",,0,,,
187,14-379,mangoes weighed with skin and stone,FA,Fruit,"loose, individual",,0.412167086,,,
188,14-339,melon canteloupe-type flesh only,FA,Fruit,"loose, individual",,0,,,
189,14-353,melon canteloupe-type flesh and skin,FA,Fruit,"loose, individual",,0.324623371,,,
190,14-356,melon flesh and skin,FA,Fruit,"loose, individual",,0.324623371,,,
191,14-168,mulberries whole fruit,FA,Fruit,punnet,,0.515864107,,,
192,14-380,nectarines flesh and skin,FA,Fruit,punnet,,0.324623371,,,
193,,olives,FA,Fruit,"tin, jar",,0,,,
194,14-327,oranges flesh only,FA,Fruit,"loose, individual, net",,0,,,
195,14-360,oranges flesh with peel and pips,FA,Fruit,"loose, individual, net",,0.319789753,,,
196,14-369,orange juice freshly squeezed,FC,Fruit,"carton, tetrapak, bottle",,0.530214438,,,
197,14-361,pears average flesh and skin weighed with core and stalk,F,Fruit,"loose, individual, bag",,0.292930233,,,
198,14-188,peaches in juice whole contents,FA,Fruit,tin  ,,0.415927116,,,
199,14-321,pears flesh and skin,FA,Fruit,packet,,0.324623371,,,
200,14-376,pineapple flesh only,FA,Fruit,"loose, individual",,0,,,
201,14-377,pineapple flesh with skin and top,FA,Fruit,"loose, individual",,0.412167086,,,
202,14-211,pineapple in juice whole contents,FA,Fruit,"loose, individual",,0.415927116,,,
203,14-396,pineapple dried,FA,Fruit,"loose, individual",,0,,,
204,14-220,plums victoria flesh and skin,FA,Fruit,,,0.324623371,,,
205,14-227,pomegranate flesh and pips weighed with skin,FA,Fruit,"loose, individual",,0.412167086,,,
206,14-285,passion fruit juice,FC,Fruit,"carton, tetrapak, bottle",,0.646406571,200g,Y,individual carton
207,14-179,passion fruit flesh and pips weighed with skin,FA,Fruit,,,0.38292274,,,
208,14-341,pomegranate juice drink,FC,Fruit,"carton, tetrapak, bottle",,0.492970225,,,
209,14-227,pomegranate flesh and pips weighed with skin,FA,Fruit,,,0.412167086,,,
210,14-289,prune juice,FC,Fruit,"carton, tetrapak, bottle",,0.522257395,,,
211,14-237,prunes in juice whole contents,FA,Fruit,tin,,0.415927116,,,
212,14-231,prunes flesh and skin,FA,Fruit,,,0.324623371,,,
213,14-391,prunes ready-to-eat semi-dried,FA,Fruit,,,0.695211487,125g,Y,per pot
214,14-393,raisins dried,FA,Fruit,packet,,0.642766851,44g,Y,packet
215,14-375,raspberries,FA,Fruit,punnet,,0,,,
216,14-249,redcurrants,FA,Fruit,punnet,,0,,,
217,14-252,rhubarb stems only,FA,Fruit,bunch,,0,,,
218,14-059,star fruit,FA,Fruit,"loose, individual",,0.44536635,,,
219,14-324,strawberries,FA,Fruit,punnet,,0,,,
220,14-268,whitecurrants,FA,Fruit,punnet,,0,,,
221,13-801,allspice ground,H,Herbs and spices,spice jar,,0,,,
222,13-802,anise seeds,H,Herbs and spices,spice jar,,0,,,
223,13-803,asafoetida,H,Herbs and spices,,,0,,,
224,13-805,basil dried ground,H,Herbs and spices,spice jar,,0,,,
225,13-804,basil fresh,H,Herbs and spices,bunch,,0,,,
226,13-808,caraway seeds,H,Herbs and spices,spice jar,,0,,,
227,13-809,cardamom ground,H,Herbs and spices,spice jar,,0,,,
228,13-810,celery seeds,H,Herbs and spices,spice jar,,0,,,
229,13-811,chervil dried,H,Herbs and spices,spice jar,,0,,,
230,13-873,chilli powder,H,Herbs and spices,spice jar,,0.407783198,,,
231,13-813,chinese 5 spice,H,Herbs and spices,spice jar,,0.414587918,,,
232,13-887,chives fresh,H,Herbs and spices,bunch,,0,,,
233,13-874,cinnamon ground,H,Herbs and spices,spice jar,,0,,,
234,13-816,cloves dried,H,Herbs and spices,spice jar,,0,,,
235,13-818,coriander leaves dried,H,Herbs and spices,spice jar,,0,,,
236,13-889,cumin seeds,H,Herbs and spices,spice jar,,0,,,
237,13-876,curry powder,H,Herbs and spices,spice jar,,0.480905348,,,
238,13-824,dill fresh,H,Herbs and spices,bunch,,0,,,
239,13-829,garam masala,H,Herbs and spices,spice jar,,0,,,
240,13-830,garlic powder,H,Herbs and spices,spice jar,,0.565405342,,,
241,13-890,ginger fresh,H,Herbs and spices,"loose, individual",,0,,,
242,13-832,ginger ground,H,Herbs and spices,spice jar,,0,,,
243,13-835,marjoram dried,H,Herbs and spices,spice jar,,0,,,
244,13-836,mint fresh,H,Herbs and spices,bunch,,0.493221163,,,
245,13-886,mixed curry spices,H,Herbs and spices,spice jar,,0.358754345,,,
246,13-884,mixed herbs dried,H,Herbs and spices,spice jar,,0.489168364,,,
247,13-839,mustard seeds,H,Herbs and spices,spice jar,,0.786442736,5g,Y,I sachet
248,13-877,nutmeg ground,H,Herbs and spices,spice jar,,0,,,
249,13-878,oregano dried ground,H,Herbs and spices,spice jar,,0,,,
250,13-879,paprika,H,Herbs and spices,spice jar,,0,,,
251,13-844,parsley fresh,H,Herbs and spices,bunch,,0,,,
252,13-880,pepper black,H,Herbs and spices,,,0,,,
253,13-892,rosemary fresh,H,Herbs and spices,bunch,,0,,,
254,13-852,saffron,H,Herbs and spices,spice jar,,0,,,
255,13-854,sage dried ground,H,Herbs and spices,spice jar,,0,,,
256,19-646,bacon rashers back fat trimmed,MAA,Meat and meat products,,,0.572956802,,,
257,18-006,beef braising steak,MAC,Meat and meat products,,,0.712174765,213g,Y,small
258,18-003,beef fat average,MAC,Meat and meat products,,,0.433520854,,,
259,18-016,beef fillet steak,MAC,Meat and meat products,,,0.712174765,213g,Y,small
260,18-024,beef flank,MAC,Meat and meat products,,,0.585931837,,,
261,18-468,beef average,MAC,Meat and meat products,,,0.515059442,,,
262,18-469,beef mince,MAC,Meat and meat products,,,0.585931837,,,
263,18-054,beef silverside,MAC,Meat and meat products,,,0.585931837,,,
264,18-064,beef sirloin steak,MAC,Meat and meat products,,,0.712174765,213g,Y,small
265,18-084,beef topside,MAC,Meat and meat products,,,0.585931837,,,
