,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Similarity Score,Product Weight,Source,Purchase Date,Pack Size
0,17-208,"beer, bitter, best, premium",QA,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",0.7071067811865476,574g,FPS,,1 pint
1,17-224,"cider, sweet",QC,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",0.6098644521912389,25g,FPS,,
2,17-234,port,QF,Alcoholic beverages,bottle,0.0,,,,
3,17-236,"sherry, medium",QF,Alcoholic beverages,bottle,0.0,,,,
4,17-247,"spirits, 40% volume",QK,Alcoholic beverages,"bottle, miniature",1.0,29g,FPS,,1 miniature
5,17-239,"vermouth, dry",QG,Alcoholic beverages,bottle,0.6402642031530209,50g/100g,FPS,,per bag
6,17-752,"wine, red",QE,Alcoholic beverages,"bottle, small bottle, box",1.0,200g,FPS,,I small bottle
7,17-756,"wine, white, medium",QE,Alcoholic beverages,"bottle, small bottle, box",0.7204988586676786,200g,FPS,,I small bottle
8,14-272,"apple juice concentrate, unsweetened, commerical",PE,Beverages,"carton, tetrapak, bottle",0.4138743438995205,,,,
9,17-632,"coffee, cappuccino, latte",P,Beverages,,1.0,170g,FPS,,1 average vending machine cup
10,17-175,cola,PCA,Beverages,"can, ready to drink bottle, sharing bottle",0.0,,,,
11,17-744,cranberry fruit juice drink,PE,Beverages,"carton, tetrapak, bottle",0.756560852301581,200g,FPS,,individual carton
12,17-498,"drinking chocolate, powder",PAA,Beverages,,0.4564971166234979,,,,
13,17-672,"energy drink, carbonated",PCA,Beverages,"can, ready to drink bottle, sharing bottle",0.8762322260281621,250ml,FPS,,slim can
14,17-745,"grape juice, unsweetened",PE,Beverages,"carton, tetrapak, bottle",0.5802435801003337,12g,FPS,,1 sachet
15,17-731,"horlicks, powder",PAA,Beverages,,0.5948046737362449,32g,FPS,,1 sachet
16,17-179,lemonade,PCA,Beverages,"can, ready to drink bottle, sharing bottle",0.0,,,,
17,17-761,lucozade,PCA,Beverages,"ready to drink bottle, sharing bottle",0.0,,,,
18,17-751,"lager, premium",QA,Beverages,"can, multipack can, bottle, multipack bottle",0.7071067811865476,574g,FPS,,1 pint
19,17-244,"liqueurs, high strength",QI,Beverages,"bottle, miniature",0.9022530331020884,150g,FPS,,pots
20,17-733,"milk shake, powder",PAA,Beverages,,1.0,585g,FPS,,1 pint
21,17-734,"ovaltine, powder",PAA,Beverages,,0.0,,,,
22,11-001,arrowroot,AA,Cereals and cereal products,,0.0,,,,
23,11-002,"barley, pearl, raw",AA,Cereals and cereal products,packet,0.5937818449203375,180g,FPS,,I bottle
24,11-906,"bran, wheat",AA,Cereals and cereal products,cereal box,0.0,,,,
25,11-006,"buckwheat, groats",AA,Cereals and cereal products,packet,0.0,,,,
26,11-1144,"bread rolls, brown, crusty",AF,Cereals and cereal products,"loose, individual
multiple pack",0.576727063128621,20g,FPS,,1 portion pack
27,11-1006,"bread rolls, white, soft",AF,Cereals and cereal products,"loose, individual
multiple pack",0.4528892783796397,,,,
28,11-971,"bread, brown, average",AF,Cereals and cereal products,loaf,0.5015932469883077,360g,FPS,,"6 in pack, 60g"
29,11-969,"bread, ciabatta",AF,Cereals and cereal products,"loose, individual
multiple pack",0.6880126944052741,20g,FPS,,1 slice
30,11-937,"bread, garlic and herb, retail",AF,Cereals and cereal products,"loose, individual
multiple pack",0.7414124137951081,20g,FPS,,1 slice
31,11-910,"bread, naan, peshwari naan, takeaway and retail",AF,Cereals and cereal products,"loose, individual
multiple pack",0.6927610070124688,160g,FPS,,
32,11-973,"bread, naan, retail",AF,Cereals and cereal products,"loose, individual
multiple pack",0.74505177427139,160g,FPS,,
33,11-974,"bread, pitta, white",AF,Cereals and cereal products,"loose, individual
multiple pack",0.4652360282498347,,,,
34,11-947,"bread, seeded",AF,Cereals and cereal products,loaf,0.6880126944052741,20g,FPS,,1 slice
35,11-1145,"bread, white, average",AF,Cereals and cereal products,loaf,0.4896494427550495,360g,FPS,,"6 in pack, 60g"
36,11-977,"bread, white, farmhouse or split tin",AF,Cereals and cereal products,loaf,0.3822768421070135,,,,
37,11-978,"bread, white, french stick",AF,Cereals and cereal products,baguette,0.3184775937522744,,,,
38,11-980,"bread, white, sliced",AF,Cereals and cereal products,loaf,0.3827437558770012,,,,
39,11-981,"bread, wholemeal, average",AF,Cereals and cereal products,loaf,0.455510684322797,,,,
40,11-983,"bread rolls, brown, soft",AG,Cereals and cereal products,"loose, individual
multiple pack",0.4534921843546891,,,,
41,11-984,"bread rolls, malted wheat",AG,Cereals and cereal products,"loose, individual
multiple pack",0.6880126944052741,20g,FPS,,1 slice
42,11-985,"bread rolls, white, crusty",AG,Cereals and cereal products,"loose, individual
multiple pack",0.4652360282498347,,,,
43,11-986,"bread rolls, wholemeal",AG,Cereals and cereal products,"loose, individual
multiple pack",0.6880126944052741,20g,FPS,,1 slice
44,11-763,"breakfast cereal, bran flakes, fortified",AI,Cereals and cereal products,cereal box,0.0,,,,
45,11-742,"breakfast cereal, cornflakes, fortified",AI,Cereals and cereal products,cereal box,0.0,,,,
46,11-779,"breakfast cereal, fruit and fibre type, fortified",AI,Cereals and cereal products,cereal box,0.486772860346225,50g,FPS,,bar
47,11-755,"breakfast cereal, honey loops and hoops, including honey and nut cheerios, fortified",AI,Cereals and cereal products,cereal box,0.3901439990108702,,,,
48,11-792,"breakfast cereal, instant hot oat, plain, raw, fortified",AI,Cereals and cereal products,cereal box,0.4401974516128666,,,,
49,11-753,"breakfast cereal, rice, chocolate flavoured, fortified",AI,Cereals and cereal products,cereal box,0.6321651629223713,300g,FPS,,1 packet made up
50,11-778,"breakfast cereal, shredded wheat, honey nut, nestle",AI,Cereals and cereal products,cereal box,0.4138892193910055,,,,
51,11-773,"breakfast cereal, wheat biscuits, weetabix type, fortified",AI,Cereals and cereal products,cereal box,0.0,,,,
52,11-821,"biscuits, cheese flavoured",AM,Cereals and cereal products,wrapper or box,0.6865099205215273,214g,FPS,,"Crazy Milk, individual carton"
53,11-815,"biscuits, cookies, chocolate chip, standard",AM,Cereals and cereal products,wrapper or box,0.6497133270592733,40g,FPS,,bag
54,11-799,"biscuits, digestive, plain",AM,Cereals and cereal products,wrapper or box,0.7226945835012721,266g,FPS,,
55,11-809,"biscuits, fully coated with chocolate",AM,Cereals and cereal products,wrapper or box,0.4648627780938982,,,,
56,11-801,"biscuits, plain, reduced fat",AM,Cereals and cereal products,wrapper or box,0.4044293149199501,,,,
57,11-826,"breadsticks, plain",AM,Cereals and cereal products,box,0.7027630100176375,45g,FPS,,
58,,"banana bread, retail",AN,Cereals and cereal products,loaf,0.4428925214565823,,,,
59,,"brownies, chocolate, retail",AN,Cereals and cereal products,,0.4404870925079751,,,,
60,,"brownies, chocolate, baking mix",AN,Cereals and cereal products,packet,0.5994064200867445,100g,FPS,,per bag
61,11-970,"bagels, plain",AP,Cereals and cereal products,"loose, individual
multiple pack",0.7027630100176375,45g,FPS,,
62,,bread and butter pudding,AS,Cereals and cereal products,,0.3976404045863924,,,,
63,11-011,"cornmeal, sifted",AA,Cereals and cereal products,packet,0.0,,,,
64,11-988,croissants,AG,Cereals and cereal products,,0.0,,,,
65,11-820,cream crackers,AM,Cereals and cereal products,wrapper or box,0.6536038210478662,150g,FPS,,1 small carton (5 fi. oz)
66,11-839,"cakes, fancy iced, individual, retail",AN,Cereals and cereal products,,0.5593337979318262,30g,FPS,,per bag
67,11-1020,"crumble, fruit, retail",AS,Cereals and cereal products,,0.4627620861553933,,,,
68,11-850,"doughnuts, ring, iced",AP,Cereals and cereal products,,0.7071067811865476,30g,FPS,,per bag
69,11-849,"doughnuts, with jam",AP,Cereals and cereal products,,0.427640119104488,,,,
70,,"dumplings,",AT,Cereals and cereal products,,0.0,,,,
71,,"biscuit, gingerbread",AN,Cereals and cereal products,,0.545005621080401,61g,FPS,,
72,,"hot cross buns, ",AP,Cereals and cereal products,packet,0.4417049644939082,,,,
73,11-739,jaffa cakes,AM,Cereals and cereal products,wrapper or box,0.0,,,,
74,11-846,"jam tarts, retail",AS,Cereals and cereal products,,0.3859253296400772,,,,
75,,"macaroni cheese, retail",AD,Cereals and cereal products,,0.7126821453277129,430g,FPS,,large can
76,11-780,"muesli, swiss style, unfortified",AI,Cereals and cereal products,cereal box,0.6750706767476486,150g,FPS,,
77,11-737,"muffins, american, chocolate, retail",AN,Cereals and cereal products,,0.4404870925079751,,,,
78,11-848,"mince pies, retail",AS,Cereals and cereal products,,0.5419943295068606,140g,FPS,,individual pie
79,11-719,"noodles, egg, dried, raw",AD,Cereals and cereal products,,0.4715007054935516,280g,FPS,,"1 packet, made up"
80,11-823,"oatcakes, plain, retail",AM,Cereals and cereal products,wrapper or box,0.4565269399720201,,,,
81,11-936,"pizza, cheese and tomato, retail",A,Cereals and cereal products,,0.4962424280719124,116g,FPS,,average
82,11-788,"porridge oats, unfortified",A,Cereals and cereal products,,0.0,,,,
83,11-726,"pasta, egg, fresh, raw",AD,Cereals and cereal products,,0.4262226505526912,,,,
84,11-718,"pasta, wholewheat, spaghetti, dried, raw",AD,Cereals and cereal products,,0.5132298057201279,425g,FPS,,large can
85,11-735,"pasta, spaghetti, canned, in tomato sauce",AD,Cereals and cereal products,tin,0.5930929092910918,425g,FPS,,large can
86,,"papadums, retail",AF,Cereals and cereal products,,0.5439839155777908,190g,FPS,,
87,11-853,"pastry, shortcrust, retail, cooked",AO,Cereals and cereal products,,0.3328058762668199,,,,
88,11-844,"pastries, chocolate eclairs, cream filled, retail",AP,Cereals and cereal products,,0.6118341203053437,46g,FPS,,tube
89,,pancakes,AS,Cereals and cereal products,,0.0,,,,
90,11-544,"scotch pancakes, retail",AS,Cereals and cereal products,,0.5439839155777908,190g,FPS,,
91,11-921,"pie, apple, pastry, double crust, retail",AS,Cereals and cereal products,,0.3385752204786134,,,,
92,11-847,"pie, fruit, individual, retail",AS,Cereals and cereal products,,0.5369543932784537,480g,FPS,,large
93,,"pudding, sponge, retail",AS,Cereals and cereal products,,0.7927944247351262,300g,FPS,,whole
94,11-1021,"pudding, sponge, canned",AS,Cereals and cereal products,,1.0,300g,FPS,,whole
95,,prawn crackers,AT,Cereals and cereal products,packet,1.0000000000000002,30g/40g,FPS,,per bag
96,11-866,"rice, brown, basmati, raw",AC,Cereals and cereal products,packet,0.5921497608588739,300g,FPS,,1 packet made up
97,11-870,"rice, brown, easy cook, raw",AC,Cereals and cereal products,packet,0.5921497608588739,300g,FPS,,1 packet made up
98,11-874,"rice, thai fragrant, raw",AC,Cereals and cereal products,packet,0.7511364968034292,300g,FPS,,1 packet made up
99,11-863,"rice, white, long grain, easy cook, raw",AC,Cereals and cereal products,packet,0.6005814104112043,300g,FPS,,1 packet made up
100,11-940,rusks,AK,Cereals and cereal products,,0.0,,,,
101,,"risotto, plain",AT,Cereals and cereal products,,0.7027630100176375,45g,FPS,,
102,11-903,"semolina, raw",AA,Cereals and cereal products,,0.3749892289879656,,,,
103,,"sandwich, white bread,",AB,Cereals and cereal products,,0.4011213995076771,,,,
104,,"sandwich, brown bread",AB,Cereals and cereal products,,0.4677419239104149,,,,
105,11-802,shortbread,AM,Cereals and cereal products,wrapper or box,0.4563370023988496,,,,
106,11-544,"scotch pancakes, retail",AP,Cereals and cereal products,,0.5439839155777908,190g,FPS,,
107,11-919,"strudel, fruit filled, retail, frozen",AS,Cereals and cereal products,,0.5764954213870053,600g,FPS,,6 servings
108,17-371,"stuffing mix, dried",AT,Cereals and cereal products,,0.7071067811865476,100g,FPS,,per bag
109,11-800,"wafers, plain ice cream wafers, not filled",AM,Cereals and cereal products,,0.6146762011980232,60g,FPS,,tub
110,,yorkshire pudding,AT,Cereals and cereal products,,0.6104136327598235,300g,FPS,,whole
111,12-937,"eggs, chicken, whole, raw",CA,Eggs,"egg box, 6, 10, 12, 30",0.4212680849058329,,,,
112,12-949,"quiche, vegetable, retail",CD,Eggs,"small individual, large sharing",0.5356753423042451,210g/440g,FPS,,can
113,17-487,"dripping, beef",OF,Fats and oils,jar,0.6300236984151741,198g,FPS,,1 small can
114,17-010,lard,OF,Fats and oils,block,0.0,,,,
115,17-031,"oil, coconut",OC,Fats and oils,jar,0.4485173668317038,,,,
116,17-039,"oil, palm",OC,Fats and oils,bottle,0.6552556056428058,200g,FPS,,1 small can
117,17-044,"oil, soya",OC,Fats and oils,bottle,0.4742554136987429,120g,FPS,,
118,17-045,"oil, sunflower",OC,Fats and oils,bottle,0.6552556056428058,200g,FPS,,1 small can
119,17-686,"oil, vegetable, average",OC,Fats and oils,bottle,0.4068509764450056,,,,
120,16-001,"ayr, raw",JA,Fish and fish products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
121,,"anchovies, canned in oil,",JC,Fish and fish products,tin,0.6899271409532682,200g,FPS,,1 small can
122,16-385,"bass, sea, flesh only, raw",JA,Fish and fish products,fillet,0.3888212427210015,,,,
123,16-003,"bele, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
124,16-004,"boal, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
125,16-005,bombay duck,JA,Fish and fish products,,0.5416681533364661,125g,FPS,,
126,16-006,"bream, sea, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
127,16-169,"bacha, raw",JC,Fish and fish products,fillet,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
128,16-372,"cod, flesh only, raw",JA,Fish and fish products,fillet,0.638165670961456,170g,FPS,,"in sauce, purchased, frozen"
129,16-172,"carp, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
130,16-007,"catfish, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
131,16-011,"chital, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
132,16-383,"coley, flesh only, raw",JA,Fish and fish products,fillet,0.3888212427210015,,,,
133,,"crab, canned in brine",JK,Fish and fish products,tin,0.7418908223079532,85g,FPS,,1 small can
134,,crab,JK,Fish and fish products,,1.0,85g,FPS,,1 small can
135,,"crab, white meat",JK,Fish and fish products,,0.6332428259944975,85g,FPS,,1 small can
136,16-235,"crayfish, raw",JK,Fish and fish products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
137,,calamari,JM,Fish and fish products,,0.0,,,,
138,,cockles,JM,Fish and fish products,,0.0,,,,
139,16-254,"cuttlefish, raw",JM,Fish and fish products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
140,,caviare,JR,Fish and fish products,"tin, jar",0.0,,,,
141,16-173,"eel, yellow, raw",JC,Fish and fish products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
142,16-375,"haddock, flesh only, raw",JA,Fish and fish products,,0.3888212427210015,,,,
143,16-070,"hake, flesh only, raw",JA,Fish and fish products,,0.3888212427210015,,,,
144,16-081,"kalabasu, raw",JA,Fish and fish products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
145,16-186,"katla, raw",JA,Fish and fish products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
146,,"kippers, flesh only",JC,Fish and fish products,,0.4995987696019161,150g,FPS,,
147,16-393,"mackerel, flesh only, raw",JC,Fish and fish products,,0.3725442247572698,,,,
148,16-497,"mussels, raw",JM,Fish and fish products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
149,16-259,"octopus, raw",JM,Fish and fish products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
150,16-260,"oysters, raw",JM,Fish and fish products,,0.79710022854597,105g,FPS,,1 can smoked oysters
151,16-378,"pollock, alaskan, flesh only, raw",JA,Fish and fish products,,0.3888212427210015,,,,
152,16-387,"prawns, king, raw",JK,Fish and fish products,,0.6857956998853336,100g,FPS,,1 small jar prawns
221,13-801,"allspice, ground",H,Herbs and spices,spice jar,0.0,,,,
222,13-802,anise seeds,H,Herbs and spices,spice jar,0.0,,,,
223,13-803,asafoetida,H,Herbs and spices,,0.0,,,,
224,13-805,"basil, dried, ground",H,Herbs and spices,spice jar,0.0,,,,
225,13-804,"basil, fresh",H,Herbs and spices,bunch,0.4379536451697761,,,,
226,13-808,caraway seeds,H,Herbs and spices,spice jar,0.0,,,,
227,13-809,"cardamom, ground",H,Herbs and spices,spice jar,0.0,,,,
228,13-810,celery seeds,H,Herbs and spices,spice jar,0.0,,,,
229,13-811,"chervil, dried",H,Herbs and spices,spice jar,0.0,,,,
230,13-873,chilli powder,H,Herbs and spices,spice jar,0.4721944627262765,290g,FPS,,meal for one
231,13-813,chinese 5 spice,H,Herbs and spices,spice jar,0.388480009945057,,,,
232,13-887,"chives, fresh",H,Herbs and spices,bunch,0.4379536451697761,,,,
233,13-874,"cinnamon, ground",H,Herbs and spices,spice jar,0.0,,,,
234,13-816,"cloves, dried",H,Herbs and spices,spice jar,0.0,,,,
235,13-818,"coriander leaves, dried",H,Herbs and spices,spice jar,0.0,,,,
236,13-889,cumin seeds,H,Herbs and spices,spice jar,0.0,,,,
237,13-876,curry powder,H,Herbs and spices,spice jar,0.4726432066559673,125g,FPS,,1 can 
238,13-824,"dill, fresh",H,Herbs and spices,bunch,0.4379536451697761,,,,
239,13-829,garam masala,H,Herbs and spices,spice jar,0.0,,,,
240,13-830,garlic powder,H,Herbs and spices,spice jar,0.7256986511887664,20g,FPS,,1 slice
241,13-890,"ginger, fresh",H,Herbs and spices,"loose, individual",0.4379536451697761,,,,
242,13-832,"ginger, ground",H,Herbs and spices,spice jar,0.0,,,,
243,13-835,"marjoram, dried",H,Herbs and spices,spice jar,0.0,,,,
244,13-836,"mint, fresh",H,Herbs and spices,bunch,0.3814269886081355,,,,
245,13-886,mixed curry spices,H,Herbs and spices,spice jar,0.3726995889467787,,,,
246,13-884,"mixed herbs, dried",H,Herbs and spices,spice jar,0.5399797505619117,210g,FPS,,small can
247,13-839,mustard seeds,H,Herbs and spices,spice jar,1.0,5g,FPS,,I sachet
248,13-877,"nutmeg, ground",H,Herbs and spices,spice jar,0.0,,,,
249,13-878,"oregano, dried, ground",H,Herbs and spices,spice jar,0.0,,,,
250,13-879,paprika,H,Herbs and spices,spice jar,0.0,,,,
251,13-844,"parsley, fresh",H,Herbs and spices,bunch,0.4379536451697761,,,,
252,13-880,"pepper, black",H,Herbs and spices,,0.5773502691896257,630g,FPS,,
253,13-892,"rosemary, fresh",H,Herbs and spices,bunch,0.4379536451697761,,,,
254,13-852,saffron,H,Herbs and spices,spice jar,0.0,,,,
255,13-854,"sage, dried, ground",H,Herbs and spices,spice jar,0.0,,,,
256,19-646,"bacon rashers, back, fat trimmed, raw",MAA,Meat and meat products,,0.5570604721512142,25g/50g,FPS,,per bag
257,18-006,"beef, braising steak, raw, lean",MAC,Meat and meat products,,0.5985515577650203,213g,FPS,,small
258,18-003,"beef, fat, average, raw",MAC,Meat and meat products,,0.3615819986838902,,,,
259,18-016,"beef, fillet steak, raw, lean",MAC,Meat and meat products,,0.5985515577650203,213g,FPS,,small
260,18-024,"beef, flank, raw, lean",MAC,Meat and meat products,,0.4604812858877775,,,,
261,18-468,"beef, lean, average, raw",MAC,Meat and meat products,,0.3583761996105854,,,,
262,18-469,"beef, mince, raw",MAC,Meat and meat products,,0.4604812858877775,,,,
263,18-054,"beef, silverside, raw, lean",MAC,Meat and meat products,,0.4604812858877775,,,,
264,18-064,"beef, sirloin steak, raw, lean",MAC,Meat and meat products,,0.5985515577650203,213g,FPS,,small
265,18-084,"beef, topside, raw, lean",MAC,Meat and meat products,,0.4604812858877775,,,,
266,18-504,"chicken breast/steak, coated, baked",MCA,Meat and meat products,,0.649268362615639,100g,FPS,,
267,18-501,"chicken pieces, coated, takeaway",MCA,Meat and meat products,,0.3278400135553574,,,,
268,18-293,"chicken, leg quarter, raw, meat and skin",MCA,Meat and meat products,,0.462416481826905,,,,
269,18-488,"chicken, meat, average, raw",MCA,Meat and meat products,,0.3043128645826736,,,,
270,18-297,"chicken, whole, raw, meat and skin",MCA,Meat and meat products,,0.4507749539321398,,,,
271,18-295,"chicken, wing quarter, raw, meat and skin",MCA,Meat and meat products,,0.462416481826905,,,,
272,18-503,"chicken/turkey pieces, coated, baked",MCA,Meat and meat products,,0.3822557089085814,,,,
273,19-538,chicken slices,MI,Meat and meat products,,0.7315260508587585,70g,FPS,,
274,19-516,chorizo,MI,Meat and meat products,,0.0,,,,
275,19-128,"corned beef, canned",MI,Meat and meat products,tin,0.908566479902307,198g,FPS,,1 small can
276,19-449,"curry, chicken balti, retail",MR,Meat and meat products,,0.5150936811769361,190g,FPS,,
277,,"casserole, sausage,retail",MR,Meat and meat products,,0.6191496269055246,55g,FPS,,small can
278,,"chow mein, chicken, retail",MR,Meat and meat products,,0.694708467167592,350g,FPS,,
279,19-466,"cornish pasty, retail",MR,Meat and meat products,,0.5439839155777908,190g,FPS,,
280,,"coronation chicken, retail",MR,Meat and meat products,,0.7055305814177105,190g,FPS,,
281,18-489,"duck, meat only, raw",MCC,Meat and meat products,,0.4177770250202694,,,,
282,19-539,"doner kebabs, meat only",MR,Meat and meat products,,0.3888212427210015,,,,
283,,"enchiladas, meal kit, retail",MR,Meat and meat products,,0.4219773952553781,,,,
284,17-640,"ghee, butter",OF,Meat and meat products,,0.7316147147441441,25g,FPS,,1 portion pack
285,19-496,ham,MAA,Meat and meat products,,0.570304809062063,180g,FPS,,
286,,"haggis,",MI,Meat and meat products,,0.0,,,,
287,,"hot pot, lamb/beef with potatoes, retail,",MR,Meat and meat products,,0.4280971950057725,,,,
288,18-402,"kidney, lamb, raw",MG,Meat and meat products,,0.3276372622849897,,,,
289,18-478,"lamb, average, raw, lean and fat",MAE,Meat and meat products,,0.3751207245488478,,,,
290,18-111,"lamb, breast, raw, lean",MAE,Meat and meat products,,0.3854688935867116,,,,
291,18-115,"lamb, chump chops, raw, lean and fat",MAE,Meat and meat products,,0.326345181812868,,,,
292,18-481,"lamb, mince, raw",MAE,Meat and meat products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
293,18-413,"liver, lamb, raw",MG,Meat and meat products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
294,,"luncheon meat,",MI,Meat and meat products,,0.479761737845759,200g,FPS,,main course
295,19-326,"meat samosas, takeaway",MR,Meat and meat products,,0.3026572242427301,,,,
296,,"meatballs, beef, retail",MR,Meat and meat products,,0.6312258539799718,165g,FPS,,
297,,"meatballs, in tomatoe sauce, retail",MR,Meat and meat products,,0.6236688410088802,170g,FPS,,"frozen, purchased"
298,18-419,"oxtail, raw",MG,Meat and meat products,,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
299,18-609,"pork, spare ribs, raw, lean and fat",MAG,Meat and meat products,,0.3814176759494967,,,,
300,18-387,"rabbit, raw, meat only",MEC,Meat and meat products,,0.3292848876869824,,,,
301,18-390,"venison, meat only, raw",MEE,Meat and meat products,,0.3292848876869824,,,,
302,12-500,"baking fat and margarine (75-90% fat), hard block",BTM,Milk and milk products,block,0.5323593660371249,10g,FPS,,"1 portion, packed"
303,12-333,"cream, fresh, whipping",BJC,Milk and milk products,tub,0.6117935967156881,150g,FPS,,1 small carton (5 fi. oz)
304,12-537,"cheese spread, plain, reduced fat",BL,Milk and milk products,tub,0.3696937251369251,,,,
305,12-346,"cheese, cheddar, english",BL,Milk and milk products,block,0.5160399476055892,20g,FPS,,per bag
306,12-354,"cheese, danish blue",BL,Milk and milk products,tub,0.5565227960731726,400g,FPS,,loaf
307,12-357,"cheese, goats milk, full fat, soft, white rind",BL,Milk and milk products,,0.4085775223812573,,,,
308,12-360,"cheese, mozzarella, fresh",BL,Milk and milk products,,0.3751355527200883,,,,
309,12-549,"cheese, processed, slices, reduced fat",BL,Milk and milk products,,0.4127692548423102,,,,
310,12-486,"cheese, white cheshire",BL,Milk and milk products,,0.3923447359260321,,,,
311,12-507,cornetto type ice cream cone,BP,Milk and milk products,box,0.9999999999999998,60g,FPS,,tub
312,12-542,"cheesecake, fruit, individual",BR,Milk and milk products,,0.9022530331020884,90g,FPS,,individual
313,12-461,"tarts, custard, individual",BR,Milk and milk products,,0.651160489299685,150g,FPS,,
