,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Similarity Score,Product Weight,Source,Purchase Date,Pack Size
314,12-543,"custard, ready to eat, canned and tetra-pak",BR,Milk and milk products,can,0.6284467141784099,125g,FPS,,per pot
315,12-398,"desserts, dairy, chocolate",BR,Milk and milk products,,0.6194454898323712,128g,FPS,,Can
316,12-508,"ice cream, dairy, vanilla, soft scoop",BP,Milk and milk products,,0.6017230004246014,48g,FPS,,bar
317,12-509,"ice cream, non dairy, vanilla, soft scoop",BP,Milk and milk products,,0.6017230004246014,48g,FPS,,bar
318,,"jelly, retail",BR,Milk and milk products,,0.4495812272375209,,,,
319,12-373,"lassi, sweetened",BN,Milk and milk products,bottle,0.0,,,,
320,12-390,"lollies, containing ice-cream",BP,Milk and milk products,,0.9999999999999998,60g,FPS,,tub
321,12-389,"lollies, with real fruit juice",BP,Milk and milk products,,0.6415578727052117,200g,FPS,,individual carton
322,12-512,"milk, 1% fat, pasteurised",BA,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",0.4929977785729185,585g,FPS,,1 pint
323,12-322,"milk, channel islands, whole, summer",BAB,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",0.5736496827870826,51g,FPS,,standard
324,12-307,"milk, skimmed, pasteurised, average",BAE,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",0.4393498989293828,,,,
325,12-313,"milk, semi-skimmed, pasteurised, average",BAH,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",0.4393498989293828,,,,
326,12-596,"milk, whole, pasteurised, average",BAK,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",0.3837218439331208,,,,
327,12-520,"milk, condensed, whole, sweetened",BAR,Milk and milk products,tin,0.5736496827870826,51g,FPS,,standard
328,12-522,"milk, evaporated, whole",BAR,Milk and milk products,tin,0.7799940752349114,170g,FPS,,1 small can
329,12-524,"milk, soya, non-dairy alternative to milk, unsweetened, fortified",BC,Milk and milk products,"carton, 1L",0.5522507557686027,585g,FPS,,1 pint
330,12-401,"mousse, chocolate, low fat",BR,Milk and milk products,,0.4506325262864485,,,,
331,12-553,"pudding, rice, canned, low fat",BR,Milk and milk products,tin,0.5185810259268044,300g,FPS,,1 packet made up
332,,"raita, retail",BV,Milk and milk products,,0.5439839155777908,190g,FPS,,
333,12-555,"yogurt, greek style, plain",BN,Milk and milk products,,0.6071018075322043,125g,FPS,,
334,12-375,"yogurt, whole milk, fruit",BN,Milk and milk products,,0.5747101949421778,150g,FPS,,pots
335,14-870,"almonds, flaked and ground",GA,Nuts and seeds,packet,0.4128321927436697,,,,
336,14-897,"almonds, toasted",GA,Nuts and seeds,packet,0.0,,,,
337,14-896,"almonds, whole kernels",GA,Nuts and seeds,packet,0.6833968945106905,51g,FPS,,standard
338,14-895,"breadnut seeds, dried",G,Nuts and seeds,packet,0.0,,,,
339,14-806,betel nuts,GA,Nuts and seeds,packet,0.7026975536924479,47g,FPS,,packet
340,14-813,"chestnuts, kernel only, raw",GA,Nuts and seeds,packet,0.3888212427210015,,,,
341,14-889,"coconut milk, retail",GA,Nuts and seeds,carton/tetrapak,0.4333787599246385,,,,
342,14-874,"hazelnuts, kernel only",GA,Nuts and seeds,packet,0.4995987696019161,150g,FPS,,
343,14-891,"macadamia nuts, salted",G,Nuts and seeds,packet,0.487289921292222,47g,FPS,,packet
344,14-875,"marzipan, white and yellow, retail",GA,Nuts and seeds,packet,0.3462661244055344,,,,
345,14-880,"nuts, mixed",GA,Nuts and seeds,packet,0.58658499743791,40g,FPS,,per bag
346,14-892,"peanut butter, smooth",GA,Nuts and seeds,jar,1.0000000000000002,25g,FPS,,1 portion pack
347,14-882,peanuts and raisins,GA,Nuts and seeds,packet,0.4672130210462251,,,,
348,14-840,"pistachio nuts, kernel only, roasted and salted",GA,Nuts and seeds,packet,0.5398267564096042,25g,FPS,,"small, per bag"
349,14-843,"quinoa, raw",GA,Nuts and seeds,packet,0.5217706540839595,75g,FPS,,1 raw small eating (6 to lb) 
350,14-845,sunflower seeds,GA,Nuts and seeds,packet,0.0,,,,
351,14-879,"walnuts, kernel only",GA,Nuts and seeds,packet,0.4995987696019161,150g,FPS,,
352,,"apple sauce, retail",WC,"Soups, sauces and miscellaneous foods",jar,0.3636984383651361,,,,
353,17-705,barbecue sauce,WC,"Soups, sauces and miscellaneous foods",,0.6385992453731303,20g,FPS,,1 portion pack
354,17-678,"brown sauce, reduced salt/sugar",WCN,"Soups, sauces and miscellaneous foods",,0.5708375592092538,20g,FPS,,1 portion pack
355,17-697,"chicken soup, cream of, canned, condensed, as served",WAC,"Soups, sauces and miscellaneous foods",can,0.4895853039103836,405g,FPS,,large can
356,17-719,chilli sauce,WC,"Soups, sauces and miscellaneous foods",,0.3809243625543377,,,,
357,,cheese sauce,WCD,"Soups, sauces and miscellaneous foods",,0.4960810936382995,20g,FPS,,1 portion pack
358,17-345,"chutney, tomato",WCG,"Soups, sauces and miscellaneous foods",jar,0.5609625599759139,12g,FPS,,I sachet
359,17-358,cream of tartar,WY,"Soups, sauces and miscellaneous foods",sachet,0.6117935967156881,150g,FPS,,1 small carton (5 fi. oz)
360,17-715,"dressing, blue cheese",WCG,"Soups, sauces and miscellaneous foods",,0.5160399476055892,20g,FPS,,per bag
361,17-701,"dressing, french",WCG,"Soups, sauces and miscellaneous foods",,0.5649391010131841,130g,FPS,,regular
362,17-717,"dressing, thousand island",WCG,"Soups, sauces and miscellaneous foods",,0.0,,,,
363,,"guacamole, retail",WC,"Soups, sauces and miscellaneous foods",,0.5439839155777908,190g,FPS,,
364,17-360,gelatine,WY,"Soups, sauces and miscellaneous foods",,0.0,,,,
365,17-724,gravy instant granules,WY,"Soups, sauces and miscellaneous foods",,0.6762755873735299,280g,FPS,,"1 packet, made up"
367,,"hollandaise sauce, vegan, retail",WC,"Soups, sauces and miscellaneous foods",jar,0.41022811430352,,,,
368,17-654,"mayonnaise, standard, retail",WCG,"Soups, sauces and miscellaneous foods",,0.7049973032090611,165g,FPS,,
369,17-364,"mustard, smooth",WY,"Soups, sauces and miscellaneous foods",jar,1.0,5g,FPS,,I sachet
370,17-623,"pesto, red",WC,"Soups, sauces and miscellaneous foods",jar,0.0,,,,
371,17-718,"pickle, sweet",WCG,"Soups, sauces and miscellaneous foods",jar,0.6817183503250039,20g,FPS,,1 portion pack
372,17-702,piccalilli,WCN,"Soups, sauces and miscellaneous foods",jar,0.0,,,,
373,17-354,"relish, tomato based",WCN,"Soups, sauces and miscellaneous foods",jar,0.5609625599759139,12g,FPS,,I sachet
374,17-711,"soup, minestrone, canned",WA,"Soups, sauces and miscellaneous foods",can,0.8242849247779618,405g,FPS,,large can
375,17-695,"soup, chicken, cream of, canned",WAC,"Soups, sauces and miscellaneous foods",can,0.4895853039103836,405g,FPS,,large can
376,17-652,"soup, cream of tomato, canned",WAC,"Soups, sauces and miscellaneous foods",can,0.485596905414717,405g,FPS,,large can
377,17-698,"soup, lentil, canned",WAC,"Soups, sauces and miscellaneous foods",can,0.8242849247779618,405g,FPS,,large can
378,17-700,"soup, oxtail, canned",WAC,"Soups, sauces and miscellaneous foods",can,0.8242849247779618,405g,FPS,,large can
379,17-712,"soup, vegetable, canned",WAC,"Soups, sauces and miscellaneous foods",can,0.6480274773621819,210g/440g,FPS,,can
380,17-653,"soup, instant, dried, as purchased",WAE,"Soups, sauces and miscellaneous foods",can,0.6248409999481306,405g,FPS,,large can
381,17-628,"sauce, chinese cook in, sweet & sour",WC,"Soups, sauces and miscellaneous foods",,0.8396080862321795,25g,FPS,,
382,17-629,"sauce, chinese stir fry",WC,"Soups, sauces and miscellaneous foods",,0.4458840888499765,,,,
383,17-703,salad cream,WCG,"Soups, sauces and miscellaneous foods",,1.0000000000000002,12g,FPS,,1 sachet
384,,"sauce, sweet and sour, retail",WCN,"Soups, sauces and miscellaneous foods",jar,0.8158632989392838,25g,FPS,,
385,17-721,"soy sauce, light and dark varieties",WCN,"Soups, sauces and miscellaneous foods",,0.3615850600002837,,,,
386,17-367,salt,WY,"Soups, sauces and miscellaneous foods",,0.4939178495572992,10g,FPS,,per bag
387,17-515,"stock cubes, beef",WY,"Soups, sauces and miscellaneous foods",,0.6300236984151741,198g,FPS,,1 small can
388,17-680,stock gel,WY,"Soups, sauces and miscellaneous foods",,0.0,,,,
389,17-681,"stock, chicken, ready made, retail",WY,"Soups, sauces and miscellaneous foods",,0.5668929239393119,190g,FPS,,
390,17-339,vinegar,WY,"Soups, sauces and miscellaneous foods",,0.4939178495572992,10g,FPS,,per bag
391,,"white sauce, retial",WCD,"Soups, sauces and miscellaneous foods",jar,0.4170051921513854,,,,
392,,"white sauce, vegan, retial",WCD,"Soups, sauces and miscellaneous foods",jar,0.3970774041314801,,,,
393,17-723,worcestershire sauce,WCN,"Soups, sauces and miscellaneous foods",,0.6385992453731303,20g,FPS,,1 portion pack
394,17-377,"water, distilled",WY,"Soups, sauces and miscellaneous foods",,0.6981756688904391,500g,FPS,,large
395,17-517,yeast extract,WY,"Soups, sauces and miscellaneous foods",jar,0.0,,,,
396,17-659,chocolate spread,SC,"Sugars, preserves and snacks",jar,0.5405195886759304,50g,FPS,,average
397,17-658,chocolate covered bar with caramel and cereal,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",0.4998254409765698,50g,FPS,,bar
398,17-763,creme egg,SEA,"Sugars, preserves and snacks",individual,0.9195908258882448,39g,FPS,,
399,17-645,corn snacks,SN,"Sugars, preserves and snacks",bag,0.4401768702265234,,,,
400,,"chevda/chevra/chewra, retial",SNC,"Sugars, preserves and snacks",,0.0,,,,
401,17-049,"glucose liquid, bp",SC,"Sugars, preserves and snacks",tube,0.0,,,,
402,17-050,honey,SC,"Sugars, preserves and snacks",jar,0.5390736920579159,135g,FPS,,
403,17-689,"ice cream sauce, topping, strawberry and chocolate flavours",SC,"Sugars, preserves and snacks",,0.7229402232147197,60g,FPS,,tub
404,17-075,"jam, reduced sugar",SC,"Sugars, preserves and snacks",jar,0.5890948634186755,6g,FPS,,1 'packet' sugar
405,17-777,liquorice allsorts,SEC,"Sugars, preserves and snacks",bag,0.8121268773519039,115g,FPS,,box
406,17-078,marmalade,SC,"Sugars, preserves and snacks",jar,0.5,20g,FPS,,1 individual carton
407,17-651,maltesers and similar products,SEA,"Sugars, preserves and snacks","individual bag, share bag",0.6540976878903091,80g,FPS,,family bag
408,17-668,mars bar and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",0.5707130199207513,100g,FPS,,kingsize
409,17-669,milky way and own brand equivalents,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",0.6613051075772095,26g,FPS,,standard
410,17-114,marshmallows,SEC,"Sugars, preserves and snacks",,1.0,40g,FPS,,bag
411,,nougat,SEC,"Sugars, preserves and snacks",,1.0,114g,FPS,,large bar
412,17-117,peppermints,SEC,"Sugars, preserves and snacks",,0.0,,,,
413,17-692,"popcorn, salted, retail",SN,"Sugars, preserves and snacks",,0.4527339066816828,,,,
414,17-132,pork scratchings,SN,"Sugars, preserves and snacks",bag,1.0,22g,FPS,,per bag
415,17-693,"potato crisps, low fat",SN,"Sugars, preserves and snacks",bag,0.5105148575263924,25/27/28/30g,FPS,,small
416,17-060,"sugar, brown",SC,"Sugars, preserves and snacks",bag,0.7449274553634044,6g,FPS,,1 'packet' sugar
417,17-062,"sugar, icing",SC,"Sugars, preserves and snacks",bag,1.0,6g,FPS,,1 'packet' sugar
418,17-063,"sugar, white",SC,"Sugars, preserves and snacks",bag,0.7574469549657481,6g,FPS,,1 'packet' sugar
419,17-065,"syrup, golden",SC,"Sugars, preserves and snacks",tin,0.4318010940984081,,,,
420,17-096,smartie-type sweets,SEA,"Sugars, preserves and snacks",tube,0.0,,,,
0,13-145,ackee,DG,Vegetables,Can,,,,,
1,13-146,agar,DG,Vegetables,Bag,,,,,
2,13-148,alfalfa sprouts,DG,Vegetables,Loose  ,0.7071067811865476,29.4,PH15,19.10.15  ,Purchase Date:  
4,13-149,amaranth leaves,DG,Vegetables,Bagged produce,,,,,
6,14-016,apples eating,FA,Fruit,Plastic ,1.0,128.4,DoH11,14.11.2011 ,
7,14-031,apricots,FA,Fruit,Plastic  ,1.0,8.9,PH15,28.01.16  ,500g  
9,13-153,artichoke globe,DG,Vegetables,Loose produce,,,,,
10,13-157,asparagus,DG,Vegetables,Plastic  ,1.0,16.6g,PH15,26.08.15  ,250g  
11,13-161,aubergine,DG,Vegetables,Loose  ,1.0,265.0,PH15,28.09.15  ,Purchase Date:  
20,13-070,beans butter,DB,Vegetables,"Plastic,1 portion pack",0.859017757864948,25g,FPS,,
21,13-514,beans green,DB,Vegetables,Bagged produce,1.0,210g/440g,FPS,,
26,13-164,beetroot,DG,Vegetables,Plastic  ,1.0,84.3g,PH15,28.09.15  ,300g  
34,14-388,blackberries,FA,Fruit,Plastic  ,1.0,7.0g,PH15,26.08.15  ,350g  
35,14-053,blackcurrants,FA,Fruit,Punnet,,,,,
42,13-502,broccoli green,DG,Vegetables,Plastic ,0.6455735193104358,890.8,DoH11,17.10.2011 ,
43,13-177,brussels sprouts,DG,Vegetables,Loose  ,1.0000000000000002,29.4,PH15,19.10.15  ,Purchase Date:  
46,13-190,cabbage red,DG,Vegetables,Mixed material  ,0.6284590868598239,100.0,PH15,26.10.15  ,500g  
51,13-496,carrots old,DG,Vegetables,Plastic ,1.0,67.2,DoH11,10.10.2011 ,
52,13-512,cauliflower,DG,Vegetables,Plastic ,1.0,1123.0,DoH11,17.10.2011 ,
53,13-636,celery,DG,Vegetables,Loose produce,,,,,
79,13-627,courgette,DG,Vegetables,Loose produce,,224.8g,,,
86,14-087,mixed fruit,FA,Fruit,Loose  ,0.7071067811865476,95.8,PH15,19.10.15  ,Purchase Date:  
88,14-395,figs ready-to-eat semi-,FA,Fruit,Mixed material  ,1.0,14.3,PH15,27.01.16  ,250g  
97,13-245,gherkins,DG,Vegetables,Jar,,,,,
99,14-323,grapes red,FA,Fruit,Mixed material  ,0.6284590868598239,100.0,PH15,26.10.15  ,500g  
108,13-624,leeks,DG,Vegetables,Loose  ,1.0,271.7,PH15,19.10.15  ,Purchase Date:  
110,13-657,lentils red split,DB,Vegetables,Mixed material  ,0.8199321156499115,500g  ,PH15,26.10.15  ,500g  
111,13-520,lettuce,DG,Vegetables,Plastic ,0.7071067811865476,290.9,DoH11,26.09.2011 ,
116,13-279,matoki,DG,Vegetables,Bagged produce,,,,,
125,17-416,mushroom,DI,Vegetables,Bag,,,,,
126,13-288,mushrooms chinese,DG,Vegetables,Plastic ,1.0,23.7,DoH11,03.10.2011 ,
127,13-294,mushrooms shiitake,DG,Vegetables,Plastic ,1.0,23.7,DoH11,03.10.2011 ,
128,13-505,mushrooms white,DG,Vegetables,Plastic ,1.0,23.7,DoH11,03.10.2011 ,
140,13-499,onions,DG,Vegetables,Netting ,1.0,200.5,DoH11,10.10.2011 ,
143,14-285,passion fruit juice,FC,Fruit,Individual carton,1.0,200g,FPS,,Purchase Date:  
149,14-196,pears,FA,Fruit,Plastic ,1.0,201.8,DoH11,18.11.2011 ,
150,13-527,peas frozen,DF,Vegetables,Plastic  ,0.7071067811865476,462.9,PH15,30.11.15  ,500g  
151,13-438,peas,DF,Vegetables,Plastic ,0.7467549140718786,900.0,DoH11,27.01.2012 ,
155,14-396,pineapple,FA,Fruit,Can,,1198.4g,,,
159,13-489,potatoes old,DAM,Vegetables,Plastic ,1.0,200.5,DoH11,03.10.2011 ,
161,14-391,prunes ready-to-eat semi-,FA,Fruit,Plastic  ,1.0,7.5,PH15,26.10.15  ,500g  
164,14-393,raisins,FA,Fruit,Mixed material  ,1.0,0.6g,PH15,26.10.15  ,500g  
169,13-522,rocket,DG,Vegetables,Bagged produce,,,,,
170,15-648,salad green,DR,Vegetables,Can,1.0,210g/440g,FPS,,
171,15-875,salad rice brown,DR,Vegetables,Bag,1.0,300g,FPS,,
176,15-658,sausages vegetarian baked/grilled,DR,Vegetables,Pack - McDonald's Sausage and Egg McMuffin,1.0,171g,FPS,,
182,13-521,spinach baby,DG,Vegetables,Plastic  ,0.7071067811865476,401.7,PH15,09.11.15  ,190g  
183,17-417,spinach,DI,Vegetables,Plastic ,0.7071067811865476,200.0,DoH11,28.09.2011 ,
184,13-348,spring greens,DG,Vegetables,Loose produce,,,,,
185,13-355,squash butternut,DG,Vegetables,Loose  ,1.0000000000000002,1026.4g,PH15,05.10.15  ,Purchase Date:  
186,14-059,star fruit,FA,Fruit,Loose  ,0.7071067811865476,95.8,PH15,19.10.15  ,Purchase Date:  
187,14-324,strawberries,FA,Fruit,Plastic ,1.0,16.7,DoH11,23.08.2011 ,
193,15-617,sushi,DR,Vegetables,Bottle,,,,,
194,13-672,sweet potato baked,DG,Vegetables,Plastic  ,1.0000000000000002,249.3g,PH15,07.12.15  ,1kg 
195,13-609,sweetcorn,DI,Vegetables,Plastic  ,0.7071067811865476,401.7,PH15,09.11.15  ,190g  
198,13-531,tomato puree,DG,Vegetables,Metal ,1.0,142.0,DoH11,30.01.2012 ,
199,13-519,tomatoes cherry,DG,Vegetables,Packaged produce,,,,,
324,14-363,apples,F,Fruit,Plastic ,0.6650993146211334,128.4,DoH11,14.11.2011 ,
325,14-319,apples eating,F,Fruit,Plastic ,1.0,128.4,DoH11,14.11.2011 ,
326,14-025,apricots,FA,Fruit,Plastic  ,1.0,8.9,PH15,28.01.16  ,500g  
327,14-040,avocado fuerte,FA,Fruit,"loose, individual",0.7071067811865476,209.0,PH15,07.12.15  ,Purchase Date:  
328,14-387,avocado hass,FA,Fruit,"loose, individual",0.7071067811865476,214.6g,PH15,07.12.15  ,Purchase Date:  
329,14-331,apple juice,FC,Fruit,"carton, tetrapak, bottle",,,,,
330,14-043,babaco,FA,Fruit,"loose, individual",,,,,
331,14-318,bananas,FA,Fruit,Plastic ,1.0,174.8,DoH11,21.11.2011 ,
333,14-382,cherries,FA,Fruit,Plastic  ,1.0,9.8g,PH15,11.08.15  ,Purchase Date:  
334,14-326,citrus fruit soft/easy peelers,FA,Fruit,Loose  ,0.7071067811865476,95.8,PH15,19.10.15  ,Purchase Date:  
337,14-077,damsons,FA,Fruit,punnet,,,,,
338,14-083,dates,FA,Fruit,packet,,,,,
339,14-089,elderberries,FA,Fruit,punnet,,,,,
340,14-100,gooseberries,FA,Fruit,punnet,,,,,
341,14-384,grapefruit,FA,Fruit,Loose  ,1.0,331.7g,PH15,05.10.15  ,Purchase Date:  
342,14-322,grapes green,FA,Fruit,Plastic ,1.0,500.0,DoH11,14.11.2011 ,
343,14-118,guava,FA,Fruit,"loose, individual",,,,,
344,14-371,kiwi fruit,FA,Fruit,Loose  ,1.0000000000000002,83.8g,PH15,19.10.15  ,Purchase Date:  
345,14-373,kiwi fruit  weighed with skin,FA,Fruit,Loose  ,0.8218024408117858,95.8,PH15,19.10.15  ,Purchase Date:  
346,14-125,kumquats,FA,Fruit,punnet,,,,,
347,14-128,lemons,FA,Fruit,"loose, individual, net",,,,,
348,14-131,limes,FA,Fruit,"loose, individual, net",,,,,
351,14-277,lemon juice,FC,Fruit,,,,,,
352,14-378,mangoes ripe,FA,Fruit,Plastic  ,1.0,321.7,PH15,07.12.15  ,3 fruits  
353,14-379,mangoes,FA,Fruit,Plastic  ,0.7639387535946407,375.2g,PH15,07.12.15  ,3 fruits  
354,14-339,melon canteloupe-type,FA,Fruit,"loose, individual",0.7071067811865476,1333.8,DoH11,30.08.2011 ,
355,14-353,melon canteloupe-type,FA,Fruit,"loose, individual",0.7071067811865476,1333.8,DoH11,30.08.2011 ,
356,14-356,melon,FA,Fruit,"loose, individual",0.7071067811865476,1333.8,DoH11,30.08.2011 ,
357,14-168,mulberries,FA,Fruit,punnet,,,,,
358,14-380,nectarines,FA,Fruit,punnet,,131.6g,,,
360,14-327,oranges,FA,Fruit,Netting ,1.0,271.3,DoH11,21.11.201 1 ,
361,14-360,oranges  with peel and pips,FA,Fruit,Netting ,0.7071067811865476,271.3,DoH11,21.11.201 1 ,
362,14-369,orange juice freshly squeezed,FC,Fruit,Tetra pak ,0.6398754068029437,1.0,DoH11,27.01.2012 ,
363,14-361,pears,F,Fruit,Plastic ,1.0,201.8,DoH11,18.11.2011 ,
364,14-188,peaches in juice whole contents,FA,Fruit,tin  ,,,,,
365,14-321,pears,FA,Fruit,Plastic ,1.0,201.8,DoH11,18.11.2011 ,
367,14-211,pineapple in juice whole contents,FA,Fruit,"loose, individual",,,,,
368,14-220,plums victoria,FA,Fruit,,,76.8g,PH15,,
369,14-227,pomegranate,FA,Fruit,"loose, individual",,,,,
370,14-179,passion fruit,FA,Fruit,Loose  ,0.7071067811865476,95.8,PH15,19.10.15  ,Purchase Date:  
371,14-341,pomegranate juice,FC,Fruit,"carton, tetrapak, bottle",,,,,
372,14-227,pomegranate,FA,Fruit,,,,,,
373,14-289,prune juice,FC,Fruit,"carton, tetrapak, bottle",,,,,
374,14-237,prunes in juice whole contents,FA,Fruit,Plastic  ,1.0,7.5,PH15,26.10.15  ,500g  
375,14-231,prunes,FA,Fruit,Plastic  ,1.0,7.5,PH15,26.10.15  ,500g  
376,14-391,prunes ready-to-eat semi-,FA,Fruit,Plastic  ,1.0,7.5,PH15,26.10.15  ,500g  
379,14-252,rhubarb stems,FA,Fruit,Plastic  ,1.0,109.0g,PH15,17.08.15  ,400g  
513,,artichoke jar,DG,Vegetables,jar,,,,,
514,13-532,baked beans in tomato sauce,DB,Vegetables,Can,1.0,150g/205g,FPS,,
515,13-041,beans aduki whole,DB,Vegetables,packet,,14.5g,,,
516,,beans aduki,DB,Vegetables,Plastic ,0.763698128297522,6.0,DoH11,19.09.2011 ,
517,13-062,beans blackeye whole,DB,Vegetables,packet,,,,,
518,,beans blackeye,DB,Vegetables,Plastic ,0.763698128297522,6.0,DoH11,19.09.2011 ,
519,,beans butter,DB,Vegetables,Plastic ,0.763698128297522,23.8g,DoH11,19.09.2011 ,
520,13-074,beans chick peas kabuli whole,DB,Vegetables,packet,,,,,
521,,beans chick peas,DB,Vegetables,tin,,,,,
522,13-080,beans cluster,DB,Vegetables,Plastic ,0.763698128297522,6.0,DoH11,19.09.2011 ,
523,,beans edamame frozen,DB,Vegetables,Plastic  ,0.924728131149382,462.9,PH15,30.11.15  ,500g  
524,,beans edamame,DB,Vegetables,Plastic ,0.763698128297522,6.0,DoH11,19.09.2011 ,
525,13-086,beans haricot whole,DB,Vegetables,jar,,,,,
526,,beans haricot,DB,Vegetables,Plastic ,0.763698128297522,6.0,DoH11,19.09.2011 ,
527,13-098,beans mung dahl,DB,Vegetables,Plastic ,0.763698128297522,6.0,DoH11,19.09.2011 ,
528,13-102,beans pigeon peas whole,DB,Vegetables,packet,,,,,
529,,beans pinto,DB,Vegetables,Plastic ,0.763698128297522,6.0,DoH11,19.09.2011 ,
530,13-109,beans red kidney,DB,Vegetables,Mixed material  ,1.0,100.0,PH15,26.10.15  ,500g  
531,,beans red kidney,DB,Vegetables,Mixed material  ,1.0,100.0,PH15,26.10.15  ,500g  
532,13-112,beans runner,DB,Vegetables,Plastic  ,1.0,23.8g,PH15,11.08.15  ,255g  
533,13-115,beans soya,DB,Vegetables,Plastic ,0.763698128297522,42.3g,DoH11,19.09.2011 ,
534,13-117,beans sword,DB,Vegetables,Plastic ,0.763698128297522,6.0,DoH11,19.09.2011 ,
535,13-426,beansprouts mung,DB,Vegetables,packet,,,,,
536,13-056,black gram urad gram whole,DB,Vegetables,packet,,,,,
538,13-174,broccoli purple sprouting,DG,Vegetables,packet,,,,,
540,13-067,beans broad,DB,Vegetables,Plastic  ,1.0,42.3g,PH15,11.08.15  ,500g  
541,13-064,beans broad whole without pod,DB,Vegetables,Plastic  ,1.0,39.2,PH15,11.08.15  ,500g  
542,,beans cannellini,DB,Vegetables,Metal  ,0.8277751531630342,508.7,PH15,26.10.15  ,Net weight: 400g; drained weight: 246g  
543,13-582,cabbage,DG,Vegetables,Plastic ,0.763698128297522,890.8,DoH11,17.10.2011 ,
544,13-187,cabbage chinese,DG,Vegetables,Plastic ,0.763698128297522,890.8,DoH11,17.10.2011 ,
545,13-510,cabbage green,DG,Vegetables,Plastic ,1.0,890.8,DoH11,17.10.2011 ,
547,13-223,chard swiss,DG,Vegetables,"loose, individual",,,,,
548,13-225,chicory pale variety,DG,Vegetables,"loose, individual",,,,,
549,13-234,curly kale,DG,Vegetables,Plastic  ,1.0000000000000002,42.3g,PH15,26.10.15  ,206g  
551,15-637,cauliflower cheese,DR,Vegetables,Plastic ,1.0,1123.0,DoH11,17.10.2011 ,
552,15-635,coleslaw not low calorie,DR,Vegetables,packet,,,,,
553,,curry mixed,DR,Vegetables,tin,0.5250807136598507,35g,FPS,,
555,13-608,green beans,DI,Vegetables,Plastic ,1.0,6.0,DoH11,19.09.2011 ,
556,,green beans in water,DI,Vegetables,Plastic ,0.6567486715248725,6.0,DoH11,19.09.2011 ,
557,13-261,kohl rabi,DG,Vegetables,"loose, individual",,,,,
559,13-089,lentils green and brown whole,DB,Vegetables,packet,,,,,
561,13-520,lettuce,DG,Vegetables,Plastic ,0.7071067811865476,290.9,DoH11,26.09.2011 ,
562,13-271,lotus tubers,DG,Vegetables,,,,,,
564,13-298,mustard leaves,DG,Vegetables,,1.0,5g,FPS,,
568,,potato chips,DAP,Vegetables,Plastic  ,0.7071067811865476,142.0,PH15,07.12.15  ,1kg 
569,,potato wedges,DAR,Vegetables,Plastic  ,0.7071067811865476,249.3g,PH15,07.12.15  ,1kg 
570,,peas in water,DF,Vegetables,tin,,,,,
571,,pak choi,DG,Vegetables,,,,,,
572,13-311,papaya unripe green,DG,Vegetables,Loose  ,0.7576296477010735,463.0,PH15,05.10.15  ,Purchase Date:  
574,13-524,pepper capsicum red,DG,Vegetables,Mixed material  ,0.6284590868598239,100.0,PH15,26.10.15  ,500g  
575,13-323,plantain green,DG,Vegetables,Plastic ,0.6455735193104358,890.8,DoH11,17.10.2011 ,
576,13-326,pumpkin,DG,Vegetables,"loose, individual",,,,,
577,15-262,quorn korma,DR,Vegetables,,,,,,
578,13-332,radish leaves,DG,Vegetables,Plastic  ,1.0,16.0,PH15,19.10.15  ,240g  
579,13-359,swede,DG,Vegetables,Plastic  ,1.0,789.4g,PH15,26.10.15  ,Min. 400g  
580,,swede,DG,Vegetables,Plastic  ,1.0,789.4g,PH15,26.10.15  ,Min. 400g  
581,13-622,sweetcorn kernels,DG,Vegetables,Plastic  ,0.7071067811865476,401.7,PH15,09.11.15  ,190g  
582,,sweetcorn on a cob,DG,Vegetables,Plastic  ,0.7071067811865476,12.7g,PH15,09.11.15  ,190g  
583,15-872,salad pasta vegetables and mayonnaise,DR,Vegetables,,1.0,12g,FPS,,
584,15-883,shepherd's pie,DR,Vegetables,,,,,,
586,,vegetables mixed frozen,DG,Vegetables,Plastic  ,0.7071067811865476,462.9,PH15,30.11.15  ,500g  
587,15-656,vegeburger grilled,DR,Vegetables,,,,,,
589,13-397,yam,DG,Vegetables,Loose  ,1.0,1635.1g,PH15,30.10.15  ,Purchase Date:  
590,13-530,tomatoes whole contents,DG,Vegetables,Metal ,0.8893120751035134,428.9,DoH11,27.01.2012 ,
