,Composite Sample Number,Composite Sample Name,Sub_sampleNumber,Sub-sample Name,Sample Weight,Purchase Date,Place of Purchase,Packaging,Pack size
139,12.0,"courgettes, fresh, raw  ",12.11,Farm Fresh courgettes  ,193.3,17.11.15  ,"Booker, Norwich  ",Plastic  ,1kg 
140,34.0,"curly kale, fresh, boiled  ",34.1,Tesco British curly kale  ,46.2,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,206g  
141,61.0,"edamame, frozen, boiled  ",61.1,Tesco edamame beans  ,462.9,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
142,61.0,"edamame, frozen, boiled  ",61.2,Tesco edamame beans  ,482.8,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
143,61.0,"edamame, frozen, boiled  ",61.3,Tesco soya beans  ,390.9,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,600g  
144,61.0,"edamame, frozen, boiled  ",61.4,Yutaka edamame soybeans with pods  ,418.2,30.11.15  ,"Waitrose, Eaton , Norwich  ",Plastic  ,500g  
145,61.0,"edamame, frozen, boiled  ",61.5,Yutaka edamame shelled soybeans  ,497.7,30.11.15  ,"Waitrose, Eaton , Norwich  ",Plastic  ,500g  
146,61.0,"edamame, frozen, boiled  ",61.6,Birds Eye soya beans  ,407.6,30.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,480g  
147,61.0,"edamame, frozen, boiled  ",61.7,Birds Eye soya beans  ,401.3,30.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,480g  
148,62.0,"figs, ready to eat, semi -dried  ",62.1,Tesco ready to eat figs  ,14.3,27.01.16  ,"Tesco, Harford Bridges, Norwich   ",Mixed material  ,250g  
149,62.0,"figs, ready to eat, semi -dried  ",62.2,Tesco Whole Foods ready to eat figs  ,14.0,27.01.16  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,440g  
150,62.0,"figs, ready to eat, semi -dried  ",62.3,Asda Good & Balanced figs  ,16.3,27.01.16  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
151,62.0,"figs, ready to eat, semi -dried  ",62.4,Sainsbury’s figs  ,20.8,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,500g  
152,62.0,"figs, ready to eat, semi -dried  ",62.5,Waitrose Love Life soft smyrna figs  ,21.4,16.01.16  ,"Waitrose, Wymondham , Norfolk  ",Mixed material  ,250g  
153,62.0,"figs, ready to eat, semi -dried  ",62.6,Morrisons Wholefoods soft figs  ,17.3,04.02.16  ,"Morrisons, Wymondham , Norfolk   ",Plastic  ,500g  
154,62.0,"figs, ready to eat, semi -dried  ",62.7,The Co -operative Loved by Us dried figs  ,13.8,18.01.16  ,"The Co -operative, Wymondham  ",Plastic  ,250g  
155,62.0,"figs, ready to eat, semi -dried  ",62.8,Neal’s Yard Wholefoods ready to eat figs  ,16.0,18.01.16  ,Holland & Barrett delivery  ,Plastic  ,250g  
156,62.0,"figs, ready to eat, semi -dried  ",62.9,Whitworths snack on soft Smyrna figs  ,17.8,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,175g  
157,62.0,"figs, ready to eat, semi -dried  ",62.1,Whitworths snack on soft Smyrna figs  ,14.3,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,250g  
158,8.0,"grapefruit, raw, flesh only  ",8.1,Tesco pink grapefruit  ,357.0,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
159,8.0,"grapefruit, raw, flesh only  ",8.2,Tesco red grapefruit  ,330.3,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
160,8.0,"grapefruit, raw, flesh only  ",8.3,Asda Grower’s Selection red grapefruit  ,324.9,30.11.15  ,"Asda, Boundary Road, Norwich  ",Netting  ,3 fruit  
161,8.0,"grapefruit, raw, flesh only  ",8.4,Sainsbury’s red grapefruit  ,326.7,30.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic and netting  ,4 fruit  
162,8.0,"grapefruit, raw, flesh only  ",8.5,Morrisons pink grapefruit  ,291.6,30.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic and netting  ,Count 4  
163,8.0,"grapefruit, raw, flesh only ",8.6,Waitrose red grapefruit  ,318.5,30.11.15  ,"Waitrose, Wymondham  ",Loose  ,Purchase Date:  
164,8.0,"grapefruit, raw, flesh only  ",8.7,Aldi red grapefruit  ,331.9,05.10.15  ,"Aldi, Larkman Lane, Norwich  ",Loose  ,Purchase Date:  
165,8.0,"grapefruit, raw, flesh only  ",8.8,Asda Grower’s Selection red grapefruit  ,338.9,05.10.15  ,"Asda, Boundary Road, Norwich  ",Plastic and netting  ,3 fruit  
166,8.0,"grapefruit, raw, flesh only  ",8.9,The Shop SU white grapefruit  ,329.3,22.09.15  ,"The Shop SU, University of East Anglia, Norwich  ",Loose  ,Purchase Date:  
167,8.0,"grapefruit, raw, flesh only  ",8.1,Farm  shop white grapefruit  ,357.0,13.10.15  ,"Independent farm shop, Mulbarton , Norfolk  ",Loose  ,Purchase Date:  
168,8.0,"grapefruit, raw, flesh only  ",8.11,Swithenbank red grapefruit  ,385.7,12.10.15  ,Bidvest Foodservice delivery  ,Plastic  ,4 fruit  
169,59.0,"haricot beans, canned, reheated  ",59.1,Tesco haricot beans in water  ,,,"Tesco, Harford Bridges, Norwich  ",Metal  ,Net weight: 400g; drained weight: 235g  
170,59.0,"haricot beans, canned, reheated  ",59.2,Tesco haricot beans in water  ,,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Metal  ,Net weight: 400g; drained weight: 235g  
171,59.0,"haricot beans, canned, reheated  ",59.3,Asda Good & Balanced haricot beans in water  ,,09.11.15  ,"Asda, Boundary Road, Norwich  ",Metal  ,300g; drained weight: 195g  
172,59.0,"haricot beans, canned, reheated  ",59.4,Asda Good & Balanced haricot beans in water  ,,09.11.15  ,"Asda, Boundary Road, Norwich  ",Metal  ,300g; drained weight: 195g  
173,,"haricot beans, canned, reheated  ",59.5,Sainsbury’s haricot beans in water  ,,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Metal  ,400g; drained weight: 265g  
174,59.0,"haricot beans, canned, reheated  ",59.6,Morrisons haricot beans  ,,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Metal  ,300g; drained weight: 195g  
175,1.0,"kiwi fruit, raw, flesh only  ",1.2,Tesco kiwi  ,95.8,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Loose  ,Purchase Date:  
176,1.0,"kiwi fruit, raw, flesh only  ",1.3,Asda Grower’s Selection ripen at home kiwi fruit  ,85.1,28.09.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,6 fruits  
177,1.0,"kiwi fruit, raw, flesh only  ",1.4,Sainsbury’s New Zealand kiwi fruit  ,6 fruit  ,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic netting  ,6 fruit  
178,1.0,"kiwi fruit, raw, flesh only  ",1.5,Morrisons kiwi fruit  ,72.6,28.09.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,Purchase Date:  
179,1.0,"kiwi fruit, raw, flesh only  ",1.6,M&S perfectly ripe kiwi fruit  ,110.7,28.09.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,Purchase Date:  
180,1.0,"kiwi fruit, raw, flesh only  ",1.7,Lidl kiwi fruit  ,97.1,28.09.15  ,"Lidl, Drayton Road, Norwich  ",Loose  ,Purchase Date:  
181,1.0,"kiwi fruit, raw, flesh only  ",1.8,Tesco Everyday Value kiwi  ,69.3,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Mixed material  ,6 fruits  
182,1.0,"kiwi fruit, raw, flesh only  ",1.9,The Co -operative Loved by Us kiwi fruit  ,83.4,26.10.15  ,"The Co -operative, Long Stratton  ",Plastic  ,6 fruit  
183,1.0,"kiwi fruit, raw, flesh only  ",1.1,Greengrocer kiwi  ,77.3,30.09.15  ,"Independent greengrocer, Norwich  ",Loose  ,Purchase Date:  
184,1.0,"kiwi fruit, raw, flesh only  ",1.11,Bidvest Foodservice kiwi  ,68.5,13.10.15  ,Bidvest Foodservice delivery  ,Plastic  ,x6 
185,9.0,"leeks, fresh, raw  ",9.1,Tesco leeks  ,271.7,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Loose  ,Purchase Date:  
186,9.0,"leeks, fresh, raw  ",9.2,Tesco leeks  ,254.7,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic  ,500g  
187,,"leeks, fresh, raw  ",9.3,Asda Grower’s Selection British extra trimmed leeks  ,172.2,16.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
188,9.0,"leeks, fresh, raw  ",9.4,Sainsbury’s British trimmed leeks  ,353.0,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,500g  
189,9.0,"leeks, fresh, raw  ",9.5,Morrisons trimmed leeks  ,295.7,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,500g  
190,9.0,"leeks, fresh, raw  ",9.6,Sainsbury’s leeks  ,145.3,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Loose  ,Purchase Date:  
191,9.0,"leeks, fresh, raw  ",9.7,M&S British leeks  ,189.3,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,600g  
192,9.0,"leeks, fresh, raw  ",9.8,Oaklands British leeks  ,111.4,19.10.15  ,,Plastic  ,750g  
193,9.0,"leeks, fresh, raw  ",9.9,The Co -operative leeks  ,146.2,16.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Loose  ,Purchase Date:  
194,9.0,"leeks, fresh, raw  ",9.1,Farm shop Leeks  ,271.7,13.10.15  ,"Independent farm shop, Mulbarton , Norfolk  ",Loose  ,Purchase Date:  
195,9.0,"leeks, fresh, raw  ",9.11,Bidvest Foodservice Leeks  ,478.7,12.10.15  ,Bidvest Foodservice delivery  ,Plastic netting  ,5kg 
196,49.0,"lentils, split, dried, raw  ",49.1,Tesco Whole Foods red split lentils  ,500g  ,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Mixed material  ,500g  
197,49.0,"lentils, split, dried, raw  ",49.2,Tesco Aasani red split lentils  ,2kg ,16.11.15  ,"Tesco, Blue Boar Road, Norwich  ",Plastic  ,2kg 
198,49.0,"lentils, split, dried, raw  ",49.3,Asda Good & Balanced red lentils  ,500g  ,09.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
199,49.0,"lentils, split, dried, raw ",49.4,Sainsbury’s red lentils  ,500g  ,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,500g  
200,49.0,"lentils, split, dried, raw  ",49.5,Morrisons Wholefoods red split lentils  ,500g  ,30.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,500g  
201,49.0,"lentils, split, dried, raw  ",49.6,Simply M&S red split lentils  ,500g  ,30.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,500g  
202,49.0,"lentils, split, dried, raw  ",49.7,Natco red lentils  ,1kg ,27.11.15  ,Tesco online delivery  ,Plastic  ,1kg 
203,49.0,"lentils, split, dried, raw  ",49.8,KTC red lentils  ,2kg ,16.11.15  ,"Booker, Norwich  ",Plastic  ,2kg 
204,49.0,"lentils, split, dried, raw ",49.9,Great Scot red split lentils  ,500g  ,16.11.15  ,"Tesco Extra, Blue Boar Lane, Norwich  ",Plastic  ,500g  
205,49.0,"lentils, split, dried, raw  ",49.1,East End red split lentils  ,500g  ,27.11.15  ,Tesco online delivery  ,Plastic  ,500g  
206,,"lentils, split, dried, boiled  ",50.1,Tesco Whole Foods red split lentils  ,200.0,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Mixed material  ,500g  
207,50.0,"lentils, split, dried, boiled  ",50.2,Tesco Aasani red split lentils  ,200.0,16.11.15  ,"Tesco, Blue Boar Road, Norwich  ",Plastic  ,2kg 
208,50.0,"lentils, split, dried, boiled  ",50.3,Asda Good & Balanced red lentils  ,500g  ,09.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
209,50.0,"lentils, split, dried, boiled  ",50.4,Sainsbury’s red lentils  ,100.0,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,500g  
210,50.0,"lentils, split, dried, boiled  ",50.5,Morrisons Wholefoods red split lentils  ,200.0,30.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,500g  
211,50.0,"lentils, split, dried, boiled  ",50.6,Simply M&S red split lentils  ,100.0,30.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,500g  
212,50.0,"lentils, split, dried, boiled  ",50.7,Natco red lentils  ,100.0,27.11.15  ,Tesco online delivery  ,Plastic  ,1kg 
213,50.0,"lentils, split, dried, boiled  ",50.8,KTC red lentils  ,100.0,16.11.15  ,"Booker, Norwich  ",Plastic  ,2kg 
214,50.0,"lentils, split, dried, boiled  ",50.9,Great Scot red split lentils  ,100.0,16.11.15  ,"Tesco Extra, Blue Boar Lane, Norwich  ",Plastic  ,500g  
215,26.0,"mange tout, fresh, boiled  ",26.1,Tesco mangetout  ,390.0,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,215g  
216,26.0,"mange tout, fresh, boiled  ",26.2,Sainsbury’s mange tout ,319.1,07.12.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,200g  
217,26.0,"mange tout, fresh, boiled  ",26.3,Asda Grower’s Selection mangetout  ,402.0,05.10.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,155g  
218,26.0,"mange tout, fresh, boiled  ",26.4,Sainsbury’s mange tout ,417.0,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,200g  
219,26.0,"mange tout, fresh, boiled  ",26.5,Morrisons trimmed mangetout  ,441.0,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,155g  
220,26.0,"mange tout, fresh, boiled  ",26.6,Waitrose trimmed mange tout peas  ,360.8,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",Plastic  ,200g  
221,26.0,"mange tout, fresh, boiled  ",26.7,Oaklands fresh mangetout  ,402.0,05.10.15  ,"Lidl, Drayton Road, Norwich  ",Plastic  ,150g  
222,26.0,"mange tout, fresh, boiled  ",26.8,Asda Grower’s Selection mangetout  ,341.4,16.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,155g  
223,26.0,"mange tout, fresh, boiled  ",26.9,The Co -operative Loved by Us trimmed mangetout  ,306.9,30.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Plastic  ,120g  
224,26.0,"mange tout, fresh, boiled  ",26.1,Morrisons trimmed mangetout  ,390.0,16.12.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,215g  
225,26.0,"mange tout, fresh, boiled  ",26.11,Farm Fresh mangetout  ,405.0,05.10.15  ,"Booker, Norwich  ",Plastic  ,300g  
226,5.0,"mangoes , ripe, raw, flesh only  ",5.1,Tesco mango  ,321.7,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,3 fruits  
227,5.0,"mangoes, ripe, raw, flesh only  ",5.2,Tesco mango chunks  ,,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,275g  
228,5.0,"mangoes, ripe, raw, flesh only  ",5.3,Asda Grower’s Selection giant mango  ,280.9,28.09.15  ,"Asda, Boundary Road, Norwich  ",Loose  ,Purchase Date:  
229,5.0,"mangoes, ripe, raw, flesh only  ",5.4,Sainsbury’s ripe & ready mangoes  ,308.2,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,2 fruit  
230,5.0,"mangoes, ripe, raw, flesh only  ",5.5,Morrisons mango  ,285.0,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Loose  ,Purchase Date:  
231,5.0,"mangoes, ripe, raw, flesh only  ",5.6,M&S large mango  ,528.5,28.09.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Loose  ,Purchase Date:  
232,5.0,"mangoes, ripe, raw, flesh only  ",5.8,Asda Smart Price mangos  ,385.5,28.09.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,4 fruit  
233,5.0,"mangoes, ripe, raw, flesh only  ",5.9,The Co -operative Loved by Us mango chunks  ,,07.12.15  ,"The Co -operative, Long Stratton  ",Plastic  ,250g  
234,5.0,"mangoes, ripe, raw, flesh only  ",5.1,Andalor Mango  ,321.7,13.10.15  ,"Independent farm shop, Mulbarton , Norfolk  ",Loose  ,3 fruits  
235,5.0,"mangoes, ripe, raw, flesh only  ",5.11,Farm Fresh mango  ,456.9,28.09.15  ,"Booker, Norwich  ",Plastic  ,2 fruit  
236,6.0,"nectarines, yellow flesh, raw, flesh and skin  ",6.1,Tesco yellow flesh nectarines  ,118.4,14.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic with netting  ,Purchase Date:  
237,6.0,"nectarines, yellow flesh, raw, flesh and skin  ",6.2,Tesco yellow flesh nectarines  ,92.0,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic with netting  ,5 fruit s 
238,6.0,"nectarines, yellow flesh, raw, flesh and skin  ",6.3,Asda Grower’s Selection nectarines  ,227.1,17.08.15  ,"Asda, Boundary Road, Norwich  ",Plastic with netting  ,1kg 
239,6.0,"nectarines, yellow flesh,  raw, flesh and skin  ",6.4,Sainsbury’s nectarines  ,130.8,14.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic with netting  ,4 fruit  
240,6.0,"nectarines, yellow flesh, raw, flesh and skin ",6.5,Morrisons nectarines  ,144.0,17.08.15  ,"Morrisons, Albion Way, Norwich  ",Plastic with netting  ,Min 4 fruit  
241,6.0,"nectarines, yellow flesh, raw, flesh and skin  ",6.6,M&S yellow flesh nectarines  ,118.7,26.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic with paper tray  ,Purchase Date:  
242,6.0,"nectarines, yellow flesh, raw, flesh and skin  ",6.7,Nature’s Fruit nectarines  ,153.4,17.08.15  ,"Aldi, Larkman Lane, Norwich  ",Plastic with card tray  ,4 fruit  
243,6.0,"nectarines, yellow flesh, raw, flesh and  skin ",6.8,The Co -operative Loved by Us nectarines  ,119.5,17.08.15  ,"The Co -operative, Earlham Green Lane, Norwich  ",Plastic with netting  ,4 fruit s 
244,6.0,"nectarines, yellow flesh, raw, flesh and skin  ",6.9,Gog de Magog nectarines  ,156.7,19.08.15  ,"Independent market stall, Norwich M arket  ",Loose  ,Purchase Date:  
245,6.0,"nectarines, yellow flesh, raw, flesh and skin  ",6.1,Morrisons nectarines  ,118.4,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Plastic with netting  ,Purchase Date:  
246,6.0,"nectarines, yellow flesh, raw, flesh and skin  ",6.11,Tesco yellow flesh nectarines  ,90.0,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic with netting  ,5 fruits  
247,38.0,"okra, boiled  ",38.1,Tesco okra  ,9.5,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,175g  
248,38.0,"okra, boiled  ",38.2,Tesco okra  ,11.3,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,175g  
249,38.0,"okra, boiled  ",38.3,Asda okra  ,9.1,28.09.15  ,"Asda, Boundary Road, Norwich  ",Loose  ,Purchase Date:  
250,38.0,"okra, boiled  ",38.4,Sainsbury’s okra  ,Purchase  Date:  ,,"Sainsbury’s, Longwater Retail Park, Norwich  ",Loose  ,Purchase  Date:  
251,38.0,"okra, boiled  ",38.5,Morrisons okra  ,8.0,05.10.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,200g  
252,38.0,"okra, boiled  ",38.6,Waitrose okra  ,10.0,28.09.15  ,"Waitrose, Eaton, Norwich  ",Plastic  ,175g  
253,38.0,"okra, boiled  ",38.7,Tesco okra  ,9.6,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic  ,175g  
254,38.0,"okra, boiled  ",38.8,Sainsbury’s okra  ,10.3,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,175g  
255,38.0,"okra, boiled  ",38.9,Sainsbury’s okra  ,11.0,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,175g  
256,38.0,"okra, boiled  ",38.1,Asda okra  ,9.5,19.10.15  ,"Asda, Boundary Road, Norwich  ",Loose  ,175g  
257,38.0,"okra, boiled  ",38.11,Zenith okra  ,14.3,19.10.15  ,Bidvest Foodservice delivery  ,Loose in cardboard  ,1-1.8kg  
258,44.0,"papaya, ripe, raw , flesh only  ",44.1,Tesco perfectly ripe papaya  ,463.0,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
259,44.0,"papaya, ripe, raw, flesh only  ",44.2,Tesco papaya  ,293.8,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic  ,Purchase Date:  
260,44.0,"papaya, ripe, raw, flesh only  ",44.3,Asda Grower’s Selection papaya  ,329.5,07.12.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,2 fruits  
261,44.0,"papaya, ripe, raw, flesh only  ",44.4,Sainsbury’s ripe and ready papaya  ,329.0,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,Purchase Date:  
262,44.0,"papaya, ripe, raw, flesh only  ",44.5,Morrisons papaya  ,1089.9,05.10.15  ,"Morrisons, Albion Way, Norwich  ",Loose  ,Purchase Date:  
263,44.0,"papaya, ripe, raw, flesh only  ",44.6,Waitrose papaya  ,369.0,19.10.15  ,"Waitrose, Eaton , Norwich  ",Loose  ,Purchase Date:  
264,44.0,"papaya, ripe, raw, flesh only  ",44.7,Tesco perfectly ripe papaya  ,383.8,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
265,44.0,"papaya, ripe, raw, flesh only  ",44.8,Tesco perfectly ripe papaya  ,351.1,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
266,44.0,"papaya, ripe, raw, flesh only  ",44.9,Papaya Coribe papaya  ,1084.3,19.10.15  ,"Asian Store, Magdalen Street, Norwich  ",Loose  ,Purchase Date:  
267,44.0,"papaya, ripe, raw, flesh only  ",44.1,Tesco perfectly ripe papaya  ,463.0,05.01.15  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
268,44.0,"papaya, ripe, raw, flesh only  ",44.11,Sainsbury’s giant papaya  ,971.4,07.12.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Loose  ,Purchase Date:  
269,16.0,"parsnips, boiled  ",16.1,Tesco parsnips  ,148.7,02.11.15  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
270,16.0,"parsnips, boiled  ",16.2,Tesco British parsnips  ,116.8,02.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
271,16.0,"parsnips, boiled  ",16.3,Asda Grower’s Selection British parsnips  ,85.8,02.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
272,16.0,"parsnips, boiled  ",16.4,Sainsbury’s parsnips  ,132.1,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Loose  ,Purchase Date:  
273,16.0,"parsnips, boiled  ",16.5,Morrisons parsnips  ,136.6,02.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,500g  
274,16.0,"parsnips, boiled  ",16.6,M&S parsnips  ,144.3,02.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Loose  ,Purchase Date:  
275,16.0,"parsnips, boiled  ",16.7,Oaklands British parsnips  ,102.8,09.11.15  ,"Lidl, Drayton Road, Norwich  ",Plastic  ,500g  
276,16.0,"parsnips, boiled  ",16.8,Sainsbury’s Basics parsnips  ,147.3,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,750g  
277,16.0,"parsnips, boiled  ",16.9,The Co -operative parsnips  ,225.5,03.11.15  ,"The Co -operative, Wymondham  ",Loose  ,Purchase Date:  
278,16.0,"parsnips, boiled  ",16.1,Greengrocer parsnips  ,148.7,03.11.15  ,"Independent greengrocer, Norwich  ",Loose  ,Purchase Date:  
279,16.0,"parsnips, boiled  ",16.11,Farm Fresh parsnips  ,194.9,02.11.15  ,"Booker, Norwich  ",Plastic  ,1.5kg  
280,4.0,"pineapple, fresh, raw, flesh only  ",4.1,Tesco pineapple chunks  ,,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,400g  
281,4.0,"pineapple, fresh, raw, flesh only  ",4.2,Tesco pineapple  ,1265.6,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
282,4.0,"pineapple, fresh, raw, flesh only  ",4.3,Asda Grower’s Selection pineapple chunks  ,,28.09.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,400g  
