Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments,Composite Sample Number_target,Composite Sample Name_target,Sub-sample Number_target,Sub-sample Name_target,Brand_target,Normalized_Weight
13-880,"Pepper, black",H,Herbs and spices,,,,,,,,
13-892,"Rosemary, fresh",H,Herbs and spices,bunch,,,,,,,
13-852,Saffron,H,Herbs and spices,spice jar,,,,,,,
13-854,"Sage, dried, ground",H,Herbs and spices,spice jar,,,,,,,
19-646,"Bacon rashers, back, fat trimmed, raw",MAA,Meat and meat products,,,,,,,,
18-006,"Beef, braising steak, raw, lean",MAC,Meat and meat products,,,,,,,,
18-003,"Beef, fat, average, raw",MAC,Meat and meat products,,,,,,,,
18-016,"Beef, fillet steak, raw, lean",MAC,Meat and meat products,,,,,,,,
18-024,"Beef, flank, raw, lean",MAC,Meat and meat products,,,,,,,,
18-468,"Beef, lean, average, raw",MAC,Meat and meat products,,,,,,,,
18-469,"Beef, mince, raw",MAC,Meat and meat products,,,,,,,,
18-054,"Beef, silverside, raw, lean",MAC,Meat and meat products,,,,,,,,
18-064,"Beef, sirloin steak, raw, lean",MAC,Meat and meat products,,,,,,,,
18-084,"Beef, topside, raw, lean",MAC,Meat and meat products,,,,,,,,
18-504,"Chicken breast/steak, coated, baked",MCA,Meat and meat products,,,,,,,,
18-501,"Chicken pieces, coated, takeaway",MCA,Meat and meat products,,,,,,,,
18-293,"Chicken, leg quarter, raw, meat and skin",MCA,Meat and meat products,,,,,,,,
18-488,"Chicken, meat, average, raw",MCA,Meat and meat products,,,,,,,,
18-297,"Chicken, whole, raw, meat and skin",MCA,Meat and meat products,,,,,,,,
18-295,"Chicken, wing quarter, raw, meat and skin",MCA,Meat and meat products,,,,,,,,
18-503,"Chicken/turkey pieces, coated, baked",MCA,Meat and meat products,,,,,,,,
19-538,Chicken slices,MI,Meat and meat products,,,,,,,,
19-516,Chorizo,MI,Meat and meat products,,,,,,,,
19-128,"Corned beef, canned",MI,Meat and meat products,tin,,,,,,,
19-449,"Curry, chicken balti, retail",MR,Meat and meat products,,,,,,,,
,"Casserole, sausage,retail",MR,Meat and meat products,,,,,,,,
,"Chow mein, chicken, retail",MR,Meat and meat products,,,,,,,,
19-466,"Cornish pasty, retail",MR,Meat and meat products,,,,,,,,
,"Coronation chicken, retail",MR,Meat and meat products,,,,,,,,
18-489,"Duck, meat only, raw",MCC,Meat and meat products,,,,,,,,
19-539,"Doner kebabs, meat only",MR,Meat and meat products,,,,,,,,
,"Enchiladas, meal kit, retail",MR,Meat and meat products,,,,,,,,
17-640,"Ghee, butter",OF,Meat and meat products,,,,,,,,
19-496,Ham,MAA,Meat and meat products,,,,,,,,
,"Haggis,",MI,Meat and meat products,,,,,,,,
,"Hot pot, lamb/beef with potatoes, retail,",MR,Meat and meat products,,,,,,,,
18-402,"Kidney, lamb, raw",MG,Meat and meat products,,,,,,,,
18-478,"Lamb, average, raw, lean and fat",MAE,Meat and meat products,,,,,,,,
18-111,"Lamb, breast, raw, lean",MAE,Meat and meat products,,,,,,,,
18-115,"Lamb, chump chops, raw, lean and fat",MAE,Meat and meat products,,,,,,,,
18-481,"Lamb, mince, raw",MAE,Meat and meat products,,,,,,,,
18-413,"Liver, lamb, raw",MG,Meat and meat products,,,,,,,,
,"Luncheon meat,",MI,Meat and meat products,,,,,,,,
19-326,"Meat samosas, takeaway",MR,Meat and meat products,,,,,,,,
,"Meatballs, beef, retail",MR,Meat and meat products,,,,,,,,
,"Meatballs, in tomatoe sauce, retail",MR,Meat and meat products,,,,,,,,
18-419,"Oxtail, raw",MG,Meat and meat products,,,,,,,,
18-609,"Pork, spare ribs, raw, lean and fat",MAG,Meat and meat products,,,,,,,,
18-387,"Rabbit, raw, meat only",MEC,Meat and meat products,,,,,,,,
18-390,"Venison, meat only, raw",MEE,Meat and meat products,,,,,,,,
12-500,"Baking fat and margarine (75-90% fat), hard block",BTM,Milk and milk products,block,,,,,,,
12-333,"Cream, fresh, whipping",BJC,Milk and milk products,tub,,,,,,,
12-537,"Cheese spread, plain, reduced fat",BL,Milk and milk products,tub,,,,,,,
12-346,"Cheese, Cheddar, English",BL,Milk and milk products,block,,,,,,,
12-354,"Cheese, Danish blue",BL,Milk and milk products,tub,,,,,,,
12-357,"Cheese, goats milk, full fat, soft, white rind",BL,Milk and milk products,,,,,,,,
12-360,"Cheese, Mozzarella, fresh",BL,Milk and milk products,,,,,,,,
12-549,"Cheese, processed, slices, reduced fat",BL,Milk and milk products,,,,,,,,
12-486,"Cheese, White Cheshire",BL,Milk and milk products,,,,,,,,
12-507,Cornetto type ice cream cone,BP,Milk and milk products,box,,,,,,,
12-542,"Cheesecake, fruit, individual",BR,Milk and milk products,,,,,,,,
12-461,"Tarts, custard, individual",BR,Milk and milk products,,,,,,,,
12-543,"Custard, ready to eat, canned and tetra-pak",BR,Milk and milk products,can,,,,,,,
12-398,"Desserts, dairy, chocolate",BR,Milk and milk products,,,,,,,,
12-508,"Ice cream, dairy, vanilla, soft scoop",BP,Milk and milk products,,,,,,,,
12-509,"Ice cream, non dairy, vanilla, soft scoop",BP,Milk and milk products,,,,,,,,
,"Jelly, retail",BR,Milk and milk products,,,,,,,,
12-373,"Lassi, sweetened",BN,Milk and milk products,bottle,,,,,,,
12-390,"Lollies, containing ice-cream",BP,Milk and milk products,,,,,,,,
12-389,"Lollies, with real fruit juice",BP,Milk and milk products,,,,,,,,
12-512,"Milk, 1% fat, pasteurised",BA,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",,,,,,,
12-322,"Milk, Channel islands, whole, summer",BAB,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",,,,,,,
12-307,"Milk, skimmed, pasteurised, average",BAE,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",,,,,,,
12-313,"Milk, semi-skimmed, pasteurised, average",BAH,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",,,,,,,
12-596,"Milk, whole, pasteurised, average",BAK,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",,,,,,,
12-520,"Milk, condensed, whole, sweetened",BAR,Milk and milk products,tin,,,,,,,
12-522,"Milk, evaporated, whole",BAR,Milk and milk products,tin,,,,,,,
12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",BC,Milk and milk products,"carton, 1L",,,,,,,
12-401,"Mousse, chocolate, low fat",BR,Milk and milk products,,,,,,,,
12-553,"Pudding, rice, canned, low fat",BR,Milk and milk products,tin,,,,,,,
,"Raita, retail",BV,Milk and milk products,,,,,,,,
12-555,"Yogurt, Greek style, plain",BN,Milk and milk products,,,,,,,,
12-375,"Yogurt, whole milk, fruit",BN,Milk and milk products,,,,,,,,
14-870,"Almonds, flaked and ground",GA,Nuts and seeds,packet,,,,,,,
14-897,"Almonds, toasted",GA,Nuts and seeds,packet,,,,,,,
14-896,"Almonds, whole kernels",GA,Nuts and seeds,packet,,,,,,,
14-895,"Breadnut seeds, dried",G,Nuts and seeds,packet,,,,,,,
14-806,Betel nuts,GA,Nuts and seeds,packet,,,,,,,
14-813,"Chestnuts, kernel only, raw",GA,Nuts and seeds,packet,,,,,,,
14-889,"Coconut milk, retail",GA,Nuts and seeds,carton/tetrapak,,,,,,,
14-874,"Hazelnuts, kernel only",GA,Nuts and seeds,packet,,,,,,,
14-891,"Macadamia nuts, salted",G,Nuts and seeds,packet,,,,,,,
14-875,"Marzipan, white and yellow, retail",GA,Nuts and seeds,packet,,,,,,,
14-880,"Nuts, mixed",GA,Nuts and seeds,packet,,,,,,,
14-892,"Peanut butter, smooth",GA,Nuts and seeds,jar,,,,,,,
14-882,Peanuts and raisins,GA,Nuts and seeds,packet,,,,,,,
14-840,"Pistachio nuts, kernel only, roasted and salted",GA,Nuts and seeds,packet,,,,,,,
14-843,"Quinoa, raw",GA,Nuts and seeds,packet,,,,,,,
14-845,Sunflower seeds,GA,Nuts and seeds,packet,,,,,,,
14-879,"Walnuts, kernel only",GA,Nuts and seeds,packet,,,,,,,
,"Apple sauce, retail",WC,"Soups, sauces and miscellaneous foods",jar,Suggest this should be a retail option if available,,,,,,
17-705,Barbecue sauce,WC,"Soups, sauces and miscellaneous foods",,"I'd suggest removing this one as we only really need the retail version, whch we have below",,,,,,
17-678,"Brown sauce, reduced salt/sugar",WCN,"Soups, sauces and miscellaneous foods",,,,,,,,
17-697,"Chicken soup, cream of, canned, condensed, as served",WAC,"Soups, sauces and miscellaneous foods",can,,,,,,,
17-719,Chilli sauce,WC,"Soups, sauces and miscellaneous foods",,,,,,,,
,Cheese sauce,WCD,"Soups, sauces and miscellaneous foods",,,,,,,,
17-345,"Chutney, tomato",WCG,"Soups, sauces and miscellaneous foods",jar,,,,,,,
17-358,Cream of tartar,WY,"Soups, sauces and miscellaneous foods",sachet,,,,,,,
17-715,"Dressing, blue cheese",WCG,"Soups, sauces and miscellaneous foods",,,,,,,,
17-701,"Dressing, French",WCG,"Soups, sauces and miscellaneous foods",,,,,,,,
17-717,"Dressing, thousand island",WCG,"Soups, sauces and miscellaneous foods",,,,,,,,
,"Guacamole, retail",WC,"Soups, sauces and miscellaneous foods",,,,,,,,
17-360,Gelatine,WY,"Soups, sauces and miscellaneous foods",,,,,,,,
17-724,Gravy instant granules,WY,"Soups, sauces and miscellaneous foods",,,,,,,,
,"Hollandaise sauce, retail",WC,"Soups, sauces and miscellaneous foods",jar,,,,,,,
,"Hollandaise sauce, Vegan, retail",WC,"Soups, sauces and miscellaneous foods",jar,,,,,,,
17-654,"Mayonnaise, standard, retail",WCG,"Soups, sauces and miscellaneous foods",,,,,,,,
17-364,"Mustard, smooth",WY,"Soups, sauces and miscellaneous foods",jar,,,,,,,
17-623,"Pesto, red",WC,"Soups, sauces and miscellaneous foods",jar,,,,,,,
17-718,"Pickle, sweet",WCG,"Soups, sauces and miscellaneous foods",jar,,,,,,,
17-702,Piccalilli,WCN,"Soups, sauces and miscellaneous foods",jar,,,,,,,
17-354,"Relish, tomato based",WCN,"Soups, sauces and miscellaneous foods",jar,,,,,,,
17-711,"Soup, minestrone, canned",WA,"Soups, sauces and miscellaneous foods",can,,,,,,,
17-695,"Soup, chicken, cream of, canned",WAC,"Soups, sauces and miscellaneous foods",can,,,,,,,
17-652,"Soup, cream of tomato, canned",WAC,"Soups, sauces and miscellaneous foods",can,,,,,,,
17-698,"Soup, lentil, canned",WAC,"Soups, sauces and miscellaneous foods",can,,,,,,,
17-700,"Soup, oxtail, canned",WAC,"Soups, sauces and miscellaneous foods",can,,,,,,,
17-712,"Soup, vegetable, canned",WAC,"Soups, sauces and miscellaneous foods",can,,,,,,,
17-653,"Soup, instant, dried, as purchased",WAE,"Soups, sauces and miscellaneous foods",can,,,,,,,
17-628,"Sauce, Chinese cook in, sweet & sour",WC,"Soups, sauces and miscellaneous foods",,,,,,,,
17-629,"Sauce, Chinese stir fry",WC,"Soups, sauces and miscellaneous foods",,,,,,,,
17-703,Salad cream,WCG,"Soups, sauces and miscellaneous foods",,,,,,,,
,"Sauce, sweet and sour, retail",WCN,"Soups, sauces and miscellaneous foods",jar,,,,,,,
17-721,"Soy sauce, light and dark varieties",WCN,"Soups, sauces and miscellaneous foods",,,,,,,,
17-367,Salt,WY,"Soups, sauces and miscellaneous foods",,,,,,,,
17-515,"Stock cubes, beef",WY,"Soups, sauces and miscellaneous foods",,,,,,,,
17-680,Stock gel,WY,"Soups, sauces and miscellaneous foods",,,,,,,,
17-681,"Stock, chicken, ready made, retail",WY,"Soups, sauces and miscellaneous foods",,,,,,,,
17-339,Vinegar,WY,"Soups, sauces and miscellaneous foods",,,,,,,,
,"White sauce, retial",WCD,"Soups, sauces and miscellaneous foods",jar,,,,,,,
,"White sauce, Vegan, retial",WCD,"Soups, sauces and miscellaneous foods",jar,,,,,,,
17-723,Worcestershire sauce,WCN,"Soups, sauces and miscellaneous foods",,,,,,,,
17-377,"Water, distilled",WY,"Soups, sauces and miscellaneous foods",,,,,,,,
17-517,Yeast extract,WY,"Soups, sauces and miscellaneous foods",jar,,,,,,,
14-870,"Almonds, flaked and ground",GA,Nuts and seeds,packet,,,,,,,
14-897,"Almonds, toasted",GA,Nuts and seeds,packet,,,,,,,
14-896,"Almonds, whole kernels",GA,Nuts and seeds,packet,,,,,,,
14-895,"Breadnut seeds, dried",G,Nuts and seeds,packet,,,,,,,
14-806,Betel nuts,GA,Nuts and seeds,packet,,,,,,,
14-813,"Chestnuts, kernel only, raw",GA,Nuts and seeds,packet,,,,,,,
14-889,"Coconut milk, retail",GA,Nuts and seeds,carton/tetrapak,,,,,,,
14-874,"Hazelnuts, kernel only",GA,Nuts and seeds,packet,,,,,,,
14-891,"Macadamia nuts, salted",G,Nuts and seeds,packet,,,,,,,
14-875,"Marzipan, white and yellow, retail",GA,Nuts and seeds,packet,,,,,,,
14-880,"Nuts, mixed",GA,Nuts and seeds,packet,,,,,,,
14-892,"Peanut butter, smooth",GA,Nuts and seeds,jar,,,,,,,
14-882,Peanuts and raisins,GA,Nuts and seeds,packet,,,,,,,
14-840,"Pistachio nuts, kernel only, roasted and salted",GA,Nuts and seeds,packet,,,,,,,
14-843,"Quinoa, raw",GA,Nuts and seeds,packet,,,,,,,
14-845,Sunflower seeds,GA,Nuts and seeds,packet,,,,,,,
14-879,"Walnuts, kernel only",GA,Nuts and seeds,packet,,,,,,,
,"Ackee, canned",DG,Vegetables,tin,,,,,,,
13-146,"Agar, dried",DG,Vegetables,,,,,,,,
13-148,"Alfalfa sprouts, raw",DG,Vegetables,,,,,,,,
13-149,"Amaranth leaves, raw",DG,Vegetables,,,,,,,,
13-151,"Arrowhead, raw",DG,Vegetables,,,,,,,,
13-153,"Artichoke, globe, raw",DG,Vegetables,"loose, individual",,,,,,,
,"Artichoke, canned",DG,Vegetables,tin,,,,,,,
,"Artichoke, jar",DG,Vegetables,jar,,,,,,,
13-157,"Asparagus, raw",DG,Vegetables,"bunch, packet",,,,,,,
13-161,"Aubergine, raw",DG,Vegetables,"loose, individual",,,,,,,
13-532,"Baked beans, canned in tomato sauce",DB,Vegetables,tin,,,,,,,
13-041,"Beans, aduki, whole, dried, raw",DB,Vegetables,packet,"for beans, where there are options for canned versions, I would include them as well as the dried versions, as canned beans are a very common packaging format",,,,,,
,"Beans, aduki, canned",DB,Vegetables,tin,,,,,,,
13-062,"Beans, blackeye, whole, dried, raw",DB,Vegetables,packet,,,,,,,
,"Beans, blackeye, canned",DB,Vegetables,tin,,,,,,,
13-070,"Beans, butter, dried, raw",DB,Vegetables,packet,,,,,,,
,"Beans, butter, canned",DB,Vegetables,tin,,,,,,,
13-074,"Beans, chick peas, Kabuli, whole, dried, raw",DB,Vegetables,packet,,,,,,,
,"Beans, chick peas, canned",DB,Vegetables,tin,,,,,,,
13-080,"Beans, cluster, raw",DB,Vegetables,packet,,,,,,,
,"Beans, edamame, frozen",DB,Vegetables,packet,Is there a version which is not boiled?,,,,,,
,"Beans, edamame, canned",DB,Vegetables,tin,,,,,,,
13-514,"Beans, green, raw",DB,Vegetables,packet,,,,,,,
13-086,"Beans, haricot, whole, dried, raw",DB,Vegetables,jar,,,,,,,
,"Beans, haricot, canned",DB,Vegetables,tin,,,,,,,
13-098,"Beans, mung, dahl, dried, raw",DB,Vegetables,packet,,,,,,,
13-102,"Beans, pigeon peas, whole, dried, raw",DB,Vegetables,packet,,,,,,,
13-106,"Beans, pinto, dried, raw",DB,Vegetables,packet,,,,,,,
,"Beans, pinto, canned, ",DB,Vegetables,tin,,,,,,,
13-109,"Beans, red kidney, dried, raw",DB,Vegetables,packet,,,,,,,
,"Beans, red kidney, canned",DB,Vegetables,tin,,,,,,,
13-112,"Beans, runner, raw",DB,Vegetables,packet,,,,,,,
13-115,"Beans, soya, dried, raw",DB,Vegetables,packet,,,,,,,
13-117,"Beans, sword, raw",DB,Vegetables,packet,,,,,,,
13-426,"Beansprouts, mung, raw",DB,Vegetables,packet,,,,,,,
13-056,"Black gram, urad gram, whole, dried, raw",DB,Vegetables,packet,,,,,,,
13-164,"Beetroot, raw",DG,Vegetables,"loose, individual",,,,,,,
13-167,"Breadfruit, raw",DG,Vegetables,"loose, individual",,,,,,,
13-502,"Broccoli, green, raw",DG,Vegetables,"loose, individual",,,,,,,
13-174,"Broccoli, purple sprouting, raw",DG,Vegetables,packet,,,,,,,
13-177,"Brussels sprouts, raw",DG,Vegetables,packet,,,,,,,
,"Beanburger, retail",DR,Vegetables,packet,,,,,,,
,"Beanburger, vegetarian",DR,Vegetables,packet,,,,,,,
13-067,"Beans, broad, dried, raw",DB,Vegetables,"loose, individual",,,,,,,
,"Beans, broad, canned",DB,Vegetables,tin,,,,,,,
13-064,"Beans, broad, whole, raw, without pod",DB,Vegetables,packet,,,,,,,
,"Beans, cannellini, canned",DB,Vegetables,can,,,,,,,
13-582,"Cabbage, average, raw",DG,Vegetables,"loose, individual",,,,,,,
13-187,"Cabbage, Chinese, raw",DG,Vegetables,"loose, individual",,,,,,,
13-510,"Cabbage, green, raw",DG,Vegetables,"loose, individual",,,,,,,
13-190,"Cabbage, red, raw",DG,Vegetables,"loose, individual",,,,,,,
13-509,"Cabbage, white, raw",DG,Vegetables,"loose, individual",,,,,,,
13-448,"Carrots, young, raw",DG,Vegetables,"loose, individual, bag",,,,,,,
13-512,"Cauliflower, raw",DG,Vegetables,"loose, individual",,,,,,,
13-219,"Celeriac, raw",DG,Vegetables,"loose, individual",,,,,,,
13-636,"Celery, raw",DG,Vegetables,"loose, individual",,21.0,"Celery, raw  ",21.8,Tesco celery sticks  ,Tesco  ,
13-223,"Chard, Swiss, raw",DG,Vegetables,"loose, individual",,,,,,,
13-225,"Chicory, pale variety, raw",DG,Vegetables,"loose, individual",,,,,,,
13-627,"Courgette, raw",DG,Vegetables,"loose, individual",,,,,,,
13-234,"Curly kale, raw",DG,Vegetables,bag,,34.0,"Curly kale, fresh, boiled  ",34.1,Tesco British curly kale  ,Tesco  ,
,"Casserole, vegetable, retail",DR,Vegetables,packet,,,,,,,
15-637,"Cauliflower cheese, retail",DR,Vegetables,packet,,,,,,,
15-635,"Coleslaw, not low calorie, retail",DR,Vegetables,packet,,,,,,,
,"Curry, Vegetable, Mixed, canned",DR,Vegetables,tin,,,,,,,
13-244,"Garlic, raw",DG,Vegetables,"individual, pack",,,,,,,
13-245,"Gherkins, raw",DG,Vegetables,jar,,,,,,,
13-608,"Green beans, dried",DI,Vegetables,packet,,,,,,,
,"Green beans, in water, canned ",DI,Vegetables,tin,,,,,,,
13-556,Houmous,DB,Vegetables,packet,,,,,,,
13-258,"Horseradish, raw",DG,Vegetables,,,,,,,,
13-261,"Kohl rabi, raw",DG,Vegetables,"loose, individual",,,,,,,
15-809,Khadhi,DR,Vegetables,,,,,,,,
13-089,"Lentils, green and brown, whole, dried, raw",DB,Vegetables,packet,"include canned version too, if available",,,,,,
,"Lentils, canned",DB,Vegetables,can,,,,,,,
13-624,"Leeks, raw",DG,Vegetables,"loose, individual",,,,,,,
13-520,"Lettuce, average, raw",DG,Vegetables,"loose, individual",,,,,,,
13-271,"Lotus tubers, raw",DG,Vegetables,,,,,,,,
15-651,"Lasagne, vegetable, retail",DR,Vegetables,packet,,,,,,,
13-505,"Mushrooms, white, raw",DG,Vegetables,packet,,,,,,,
13-298,"Mustard leaves, raw",DG,Vegetables,,,,,,,,
15-652,"Moussaka, vegetable, retail",DR,Vegetables,packet,,,,,,,
13-300,"Okra, raw",DG,Vegetables,packet,,,,,,,
13-499,"Onions, raw",DG,Vegetables,"loose, individual",,,,,,,
,"Potatoes,",DA,Vegetables,,,,,,,,
,"Potato chips,",DAP,Vegetables,,,,,,,,
,"Potato wedges, retail, ",DAR,Vegetables,,,,,,,,
,"Peas, canned in water",DF,Vegetables,tin,include undrained version (as sold),,,,,,
13-527,"Peas, frozen, raw",DF,Vegetables,,,,,,,,
,"Pak choi, raw",DG,Vegetables,,,,,,,,
13-311,"Papaya, unripe, green flesh, raw",DG,Vegetables,"loose, individual",,,,,,,
13-312,"Parsnip, raw",DG,Vegetables,"loose, individual, packet",,,,,,,
13-524,"Pepper, capsicum, red, raw",DG,Vegetables,"loose, individual",,,,,,,
13-323,"Plantain, green flesh, raw",DG,Vegetables,"loose, individual",,,,,,,
13-326,"Pumpkin, flesh only, raw",DG,Vegetables,"loose, individual",,,,,,,
15-262,Quorn korma,DR,Vegetables,,,,,,,,
13-332,"Radish leaves, raw",DG,Vegetables,,,,,,,,
13-522,"Rocket, raw",DG,Vegetables,packet,,,,,,,
15-869,"Roulade, spinach",DR,Vegetables,,,,,,,,
13-521,"Spinach, baby, raw",DG,Vegetables,packet,,,,,,,
13-359,"Swede, flesh only, raw",DG,Vegetables,,include version with skin too if available,,,,,,
,"Swede, raw,flesh and skin",DG,Vegetables,,,,,,,,
13-463,"Sweet potato, raw, flesh only",DG,Vegetables,packet,include raw version if available,,,,,,
,"Sweet potato, raw, flesh and skin",DG,Vegetables,packet,,,,,,,
,"Sweetcorn kernels, canned",DG,Vegetables,tin,include undrained version (as sold),,,,,,
13-622,"Sweetcorn, kernels, raw",DG,Vegetables,packet,include raw corn on the cob instead,,,,,,
,Sweetcorn on a cob,DG,Vegetables,packet,,,,,,,
15-872,"Salad, pasta, vegetables and mayonnaise",DR,Vegetables,,,,,,,,
15-883,"Shepherd's pie, vegetable",DR,Vegetables,,,,,,,,
15-617,"Sushi, vegetable",DR,Vegetables,,,,,,,,
,"Vegetables, mixed, frozen",DG,Vegetables,,include unboiled raw version if available,,,,,,
15-656,"Vegeburger, retail, grilled",DR,Vegetables,,,,,,,,
,"Vegetable stir fry mix,",DR,Vegetables,packet,,,,,,,
13-673,"Watercress, raw",DG,Vegetables,packet,,39.0,"Watercress, raw  ",39.1,Hairspring watercress  ,Hairspring Watercress Ltd   ,
13-397,"Yam, flesh only, raw",DG,Vegetables,,,,,,,,
